source_table,event_index,visualization_label,physical_element,source_storage_ip,previous_global_frame,current_global_frame,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_phase_after_u1,current_phase_after_u1,phase_drop,prior_category,diagnostic_category
sdv15_unresolved_event_mapping,87,84150,16446,4,193,194,     2,   133,     2,   135,0.9040010919967063,0.9502617646596855,-0.046260672662979174,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,88,84131,16427,3,189,190,     2,   128,     2,   129,0.9989140200243002,0.9991326743126258,-0.00021865428832557043,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,89,84137,16433,3,185,186,     2,   122,     2,   123,0.9918932866787725,0.9950237246201453,-0.003130437941372799,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,90,84702,16998,1,196,197,     2,   138,     2,   139,0.8286571928787757,0.8604308839884325,-0.031773691109656776,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,91,84702,16998,2,196,197,     2,   138,     2,   139,0.8049827422212712,0.8378451627390792,-0.032862420517807966,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,92,84703,16999,1,196,197,     2,   138,     2,   139,0.7874106902998337,0.8208721417110608,-0.03346145141122714,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,93,84143,16439,3,189,190,     2,   128,     2,   129,0.9728965353461094,0.9834343521346397,-0.010537816788530274,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,94,84141,16437,4,189,190,     2,   128,     2,   129,0.9956171810411205,0.9971284950287986,-0.00151131398767812,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,95,84146,16442,3,192,193,     2,   132,     2,   133,0.9731013267375501,0.9837300555967589,-0.010628728859208736,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,96,84146,16442,3,191,192,     2,   130,     2,   132,0.9389306453893363,0.9731013267375501,-0.03417068134821377,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,97,84131,16427,4,185,186,     2,   122,     2,   123,0.9917696215350965,0.9930213730310133,-0.0012517514959168308,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,98,84703,16999,2,196,197,     2,   138,     2,   139,0.763077402314732,0.7970867071539337,-0.034009304839201726,insufficient_output_evidence,sdv15_completed_increment_monotone
