physical_element,u1_label,u2_label,cps4_label,source_storage_ip,odb_ip,source_category,connectivity,centroid_x,centroid_y,distance_from_notch_tip
16979,16979,50831,84683,2,2,insufficient_output_evidence+staggered_sync_effect,17056 17057 17604 17603,0.0065,0.0005,0.0065192024052
16980,16980,50832,84684,1,1,insufficient_output_evidence+staggered_sync_effect,17057 17058 17605 17604,0.0075,0.0005,0.00751664818919
16980,16980,50832,84684,2,2,insufficient_output_evidence+staggered_sync_effect,17057 17058 17605 17604,0.0075,0.0005,0.00751664818919
16981,16981,50833,84685,1,1,insufficient_output_evidence+staggered_sync_effect,17058 17059 17606 17605,0.0085,0.0005,0.00851469318296
16981,16981,50833,84685,2,2,insufficient_output_evidence+staggered_sync_effect,17058 17059 17606 17605,0.0085,0.0005,0.00851469318296
16982,16982,50834,84686,1,1,insufficient_output_evidence+staggered_sync_effect,17059 17060 17607 17606,0.0095,0.0005,0.00951314879522
16982,16982,50834,84686,2,2,insufficient_output_evidence+staggered_sync_effect,17059 17060 17607 17606,0.0095,0.0005,0.00951314879522
16983,16983,50835,84687,1,1,insufficient_output_evidence+staggered_sync_effect,17060 17061 17608 17607,0.0105,0.0005,0.0105118980208
16983,16983,50835,84687,2,2,insufficient_output_evidence+staggered_sync_effect,17060 17061 17608 17607,0.0105,0.0005,0.0105118980208
16984,16984,50836,84688,1,1,insufficient_output_evidence+staggered_sync_effect,17061 17062 17609 17608,0.0115,0.0005,0.0115108644332
16984,16984,50836,84688,2,2,insufficient_output_evidence+staggered_sync_effect,17061 17062 17609 17608,0.0115,0.0005,0.0115108644332
16985,16985,50837,84689,1,1,insufficient_output_evidence+staggered_sync_effect,17062 17063 17610 17609,0.0125,0.0005,0.0125099960032
16985,16985,50837,84689,2,2,insufficient_output_evidence+staggered_sync_effect,17062 17063 17610 17609,0.0125,0.0005,0.0125099960032
16986,16986,50838,84690,1,1,insufficient_output_evidence+staggered_sync_effect,17063 17064 17611 17610,0.0135,0.0005,0.0135092560861
16986,16986,50838,84690,2,2,insufficient_output_evidence+staggered_sync_effect,17063 17064 17611 17610,0.0135,0.0005,0.0135092560861
16987,16987,50839,84691,1,1,insufficient_output_evidence+staggered_sync_effect,17064 17065 17612 17611,0.0145,0.0005,0.0145086181285
16987,16987,50839,84691,2,2,insufficient_output_evidence+staggered_sync_effect,17064 17065 17612 17611,0.0145,0.0005,0.0145086181285
16988,16988,50840,84692,1,1,insufficient_output_evidence+staggered_sync_effect,17065 17066 17613 17612,0.0155,0.0005,0.0155080624193
16988,16988,50840,84692,2,2,insufficient_output_evidence+staggered_sync_effect,17065 17066 17613 17612,0.0155,0.0005,0.0155080624193
16989,16989,50841,84693,1,1,insufficient_output_evidence+staggered_sync_effect,17066 17067 17614 17613,0.0165,0.0005,0.0165075740192
16989,16989,50841,84693,2,2,insufficient_output_evidence+staggered_sync_effect,17066 17067 17614 17613,0.0165,0.0005,0.0165075740192
16990,16990,50842,84694,1,1,insufficient_output_evidence+staggered_sync_effect,17067 17068 17615 17614,0.0175,0.0005,0.0175071414
