element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
97,2,1.6482280887395482e-05,1.6482280887395482e-05,0.0,0.0
97,3,1.6657867781521557e-05,1.6657867781521557e-05,0.0,0.0
97,4,1.2080691090742641e-05,1.2080691090742641e-05,0.0,0.0
98,1,1.8514107728413615e-05,1.8514107728413615e-05,0.0,0.0
98,2,1.9465798527020847e-05,1.9465798527020847e-05,0.0,0.0
98,3,1.968292169364022e-05,1.968292169364022e-05,0.0,0.0
98,4,1.8693822131580972e-05,1.8693822131580972e-05,0.0,0.0
99,1,2.04053591276343e-05,2.04053591276343e-05,0.0,0.0
99,2,2.347467115746531e-05,2.347467115746531e-05,0.0,0.0
99,3,2.325847682031679e-05,2.325847682031679e-05,0.0,0.0
99,4,2.0137871450333164e-05,2.0137871450333164e-05,0.0,0.0
100,1,2.8262025901162035e-05,2.8262025901162035e-05,0.0,0.0
100,2,3.64973426824209e-05,3.64973426824209e-05,0.0,0.0
100,3,3.6975097104232184e-05,3.6975097104232184e-05,0.0,0.0
100,4,2.8281673738280852e-05,2.8281673738280852e-05,0.0,0.0
101,1,4.113779441477314e-05,4.113779441477314e-05,0.0,0.0
101,2,4.4037286331120325e-05,4.4037286331120325e-05,0.0,0.0
101,3,4.459846485117819e-05,4.459846485117819e-05,0.0,0.0
101,4,4.177076215613783e-05,4.177076215613783e-05,0.0,0.0
102,1,4.578777669573015e-05,4.578777669573015e-05,0.0,0.0
102,2,4.868548582154161e-05,4.868548582154161e-05,0.0,0.0
102,3,4.7778310807491346e-05,4.7778310807491346e-05,0.0,0.0
102,4,4.500985531858356e-05,4.500985531858356e-05,0.0,0.0
103,1,5.434095498918303e-05,5.434095498918303e-05,0.0,0.0
103,2,6.629128009248162e-05,6.629128009248162e-05,0.0,0.0
103,3,6.658019610480055e-05,6.658019610480055e-05,0.0,0.0
103,4,5.3683142388353205e-05,5.3683142388353205e-05,0.0,0.0
104,1,7.462130125874874e-05,7.462130125874874e-05,0.0,0.0
