node,x,y,d_F1,d_D3A5,d_D3A5_minus_d_F1,active_lower_bound,residual_Kd_minus_f
21,-0.25,-0.5,0.00043318750564180954,0.00043318750564180954,0.0,True,8.271806125530277e-25
22,-0.2375,-0.5,0.0005373917326390356,0.0005373917326390356,0.0,True,3.308722450212111e-24
23,-0.22499999999999998,-0.5,0.0006599303369579841,0.0006599303369579841,0.0,True,2.3171251166091667e-10
24,-0.21250000000000002,-0.5,0.0007896549896639458,0.0007896549896639458,0.0,True,6.617444900424222e-24
25,-0.2,-0.5,0.0009353485160437363,0.0009353485160437363,0.0,True,-2.6469779601696886e-23
26,-0.1875,-0.5,0.001135673377096943,0.001135673377096943,0.0,True,1.6469742348369628e-09
27,-0.175,-0.5,0.001308710760777772,0.001308710760777772,0.0,True,-1.3234889800848443e-23
28,-0.16249999999999998,-0.5,0.0015181640582949028,0.0015181640582949028,0.0,True,9.926167350636332e-24
29,-0.15000000000000002,-0.5,0.0017974831222285176,0.0017974831222285176,0.0,True,2.6408366544617745e-09
30,-0.1375,-0.5,0.0020102980933806936,0.0020102980933806936,0.0,True,2.9778502051908996e-23
31,-0.125,-0.5,0.002288555287748873,0.002288555287748873,0.0,True,6.617444900424222e-24
32,-0.11249999999999999,-0.5,0.002675013337617986,0.002675013337617986,0.0,True,5.3327491942869265e-09
33,-0.09999999999999998,-0.5,0.0028920793358975976,0.0028920793358975976,0.0,True,-1.9852334701272664e-23
34,-0.08750000000000002,-0.5,0.00321489137162712,0.00321489137162712,0.0,True,1.9852334701272664e-23
