event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
368,199,200,84131,4,16427,220.88490295410156,220.88490295410156,0,false
369,189,190,84133,3,16429,209.57473754882812,209.57473754882812,0,false
370,189,190,84136,4,16432,201.35389709472656,201.35389709472656,0,false
371,191,192,84140,3,16436,202.16455078125,202.16455078125,0,false
372,190,191,84141,3,16437,202.16667175292969,202.16667175292969,0,false
373,189,190,84134,3,16430,204.5533447265625,204.5533447265625,0,false
374,197,198,84152,4,16448,213.85627746582031,213.85627746582031,0,false
375,199,200,84703,2,16999,179.57609558105469,179.57609558105469,0,false
376,193,194,84677,2,16973,1383.1883544921875,1446.05126953125,62.8629150390625,false
377,200,201,84709,2,17005,166.13581848144531,166.13581848144531,0,false
378,185,186,84130,4,16426,150.66653442382812,150.66653442382812,0,false
379,187,188,84132,4,16428,257.94308471679688,257.94308471679688,0,false
380,191,192,84133,3,16429,209.57473754882812,209.57473754882812,0,false
381,189,190,84146,3,16442,200.05628967285156,200.05628967285156,0,false
382,200,201,84714,1,17010,172.63685607910156,172.63685607910156,0,false
383,198,199,84151,4,16447,205.09544372558594,205.09544372558594,0,false
384,192,193,84142,3,16438,201.95980834960938,201.95980834960938,0,false
385,196,197,84149,4,16445,199.93708801269531,199.93708801269531,0,false
386,195,196,84147,4,16443,199.17453002929688,199.17453002929688,0,false
387,199,200,84703,1,16999,182.79682922363281,182.79682922363281,0,false
388,189,190,84136,3,16432,201.05180358886719,201.05180358886719,0,false
389,188,189,84144,3,16440,201.16105651855469,201.16105651855469,0,false
390,187,188,84141,4,16437,201.84580993652344,201.84580993652344,0,false
391,198,199,84711,1,17007,171.29556274414062,171.29556274414062,0,false
