event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
67,184,185,84132,4,16428,257.94308471679688,257.94308471679688,0,false
68,191,192,84145,3,16441,200.65788269042969,200.65788269042969,0,false
69,191,192,84146,3,16442,200.05628967285156,200.05628967285156,0,false
70,192,193,84147,4,16443,199.17453002929688,199.17453002929688,0,false
71,186,187,84139,3,16435,202.00167846679688,202.00167846679688,0,false
72,191,192,84677,1,16973,912.62103271484375,1019.4296875,106.80865478515625,false
73,192,193,84148,3,16444,199.46234130859375,199.46234130859375,0,false
74,193,194,84149,4,16445,199.93708801269531,199.93708801269531,0,false
75,199,200,84130,4,16426,150.66653442382812,150.66653442382812,0,false
76,186,187,84135,4,16431,202.06367492675781,202.06367492675781,0,false
77,196,197,84701,1,16997,197.03854370117188,197.03854370117188,0,false
78,192,193,84147,3,16443,199.681640625,199.681640625,0,false
79,195,196,84677,1,16973,1246.6710205078125,1326.252197265625,79.5811767578125,false
80,188,189,84141,4,16437,201.84580993652344,201.84580993652344,0,false
81,191,192,84144,4,16440,200.74501037597656,200.74501037597656,0,false
82,196,197,84701,2,16997,192.02128601074219,192.02128601074219,0,false
83,188,189,84139,3,16435,202.00167846679688,202.00167846679688,0,false
84,195,196,84151,4,16447,205.09544372558594,205.09544372558594,0,false
85,186,187,84132,4,16428,257.94308471679688,257.94308471679688,0,false
86,193,194,84149,3,16445,199.65434265136719,199.65434265136719,0,false
87,193,194,84150,3,16446,200.54454040527344,200.54454040527344,0,false
88,189,190,84131,4,16427,220.88490295410156,220.88490295410156,0,false
89,185,186,84137,4,16433,201.32418823242188,201.32418823242188,0,false
90,196,197,84702,1,16998,188.8824462890625,188.8824462890625,0,false
91,196,197,84702,2,16998,185.27032470703125,185.27032470703125,0,false
92,196,197,84703,1,16999,182.79682922363281,182.79682922363281,0,false
93,189,190,84143,4,16439,201.2158203125,201.2158203125,0,false
94,189,190,84141,3,16437,202.16667175292969,202.16667175292969,0,false
95,192,193,84146,4,16442,199.54803466796875,199.54803466796875,0,false
96,191,192,84146,4,16442,199.54803466796875,199.54803466796875,0,false
97,185,186,84131,3,16427,232.453857421875,232.453857421875,0,false
98,196,197,84703,2,16999,179.57609558105469,179.57609558105469,0,false
99,196,197,84677,1,16973,1326.252197265625,1402.890625,76.638427734375,false
100,192,193,84148,4,16444,199.30021667480469,199.30021667480469,0,false
101,182,183,84133,3,16429,209.57473754882812,209.57473754882812,0,false
102,186,187,84678,1,16974,970.1663818359375,1184.9124755859375,214.74609375,false
103,193,194,84148,4,16444,199.30021667480469,199.30021667480469,0,false
104,184,185,84133,3,16429,209.57473754882812,209.57473754882812,0,false
105,196,197,84704,1,17000,177.920654296875,177.920654296875,0,false
106,198,199,84707,2,17003,168.27008056640625,168.27008056640625,0,false
107,198,199,84708,1,17004,170.177734375,170.177734375,0,false
108,184,185,84133,4,16429,207.03047180175781,207.03047180175781,0,false
109,191,192,84144,3,16440,201.16105651855469,201.16105651855469,0,false
110,186,187,84135,3,16431,202.22296142578125,202.22296142578125,0,false
111,195,196,84152,3,16448,208.39920043945312,208.39920043945312,0,false
112,188,189,84138,4,16434,201.40493774414062,201.40493774414062,0,false
113,188,189,84142,3,16438,201.95980834960938,201.95980834960938,0,false
114,199,200,84710,2,17006,165.88113403320312,165.88113403320312,0,false
115,198,199,84707,1,17003,170.42758178710938,170.42758178710938,0,false
116,199,200,84710,1,17006,170.86392211914062,170.86392211914062,0,false
117,187,188,84130,4,16426,150.66653442382812,150.66653442382812,0,false
118,195,196,84151,3,16447,202.69166564941406,202.69166564941406,0,false
119,184,185,84134,3,16430,204.5533447265625,204.5533447265625,0,false
