element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
237,4.136661634780898e-13,2.051223787663868e-14,4.3417840135472844e-13
238,9.42467937695304e-14,9.309258781581315e-15,1.0355605255111171e-13
239,4.406177163321244e-13,1.1599428164270474e-14,4.522171444963949e-13
240,6.689915829032781e-12,3.775152799192086e-14,6.727667357024702e-12
241,5.046958609349508e-12,3.391360338535746e-14,5.080872212734865e-12
242,1.1110109767353288e-11,4.186471034194838e-14,1.1151974477695235e-11
243,2.260456304241196e-11,4.154993750414623e-14,2.2646112979916106e-11
244,1.335314105528664e-11,2.030816451893231e-14,1.3373449219805574e-11
245,2.859695717597605e-11,2.851128482613872e-14,2.862546846080219e-11
246,3.682732594685457e-15,5.284172040000428e-15,8.966904634685885e-15
247,1.592421841327136e-14,6.18631787195178e-15,2.211053628522314e-14
248,2.1622694636223454e-13,6.832524485193553e-15,2.230594708474281e-13
249,1.3998142302253418e-11,4.597715348358546e-14,1.4044119455737004e-11
250,2.451273921199665e-11,5.468928808288896e-14,2.456742850007954e-11
251,2.543006148361739e-11,3.9707954855176117e-14,2.5469769438472567e-11
252,2.2444896725325176e-11,2.971712349793338e-14,2.247461384882311e-11
253,6.889881469429583e-11,6.106054189970442e-14,6.895987523619554e-11
254,3.3311158589054535e-15,4.239872237464416e-15,7.570988096369869e-15
255,1.033563780143283e-14,2.3860022697904644e-15,1.2721640071223294e-14
256,1.1572847171443251e-14,2.3357533651674558e-15,1.3908600536610707e-14
257,4.4009870462454965e-15,3.145823455936314e-15,7.546810502181811e-15
258,1.855203689135081e-13,1.0218361260329537e-14,1.9573873017383765e-13
259,1.4692673923161034e-12,2.849594192275533e-14,1.4977633342388588e-12
260,1.747491589892876e-11,6.381509237501295e-14,1.7538730991303772e-11
261,3.457434342955458e-11,6.00395576500835e-14,3.4634382987204664e-11
262,1.391320269167284e-12,3.9018246078594115e-16,1.39171045162807e-12
263,3.077876627533698e-12,1.5548088437861827e-13,3.2333575119123165e-12
264,1.3537046298552921e-12,5.179868209079838e-15,1.358884498064372e-12
265,9.022229826252929e-13,1.9708716579296768e-14,9.219316992045896e-13
266,1.2460068364453886e-12,2.535181425417352e-15,1.248542017870806e-12
267,1.161692834365878e-12,9.598055227445531e-16,1.1626526398886226e-12
268,1.1491636230983e-12,4.592982962479627e-16,1.149622921394548e-12
269,1.1404978982088626e-12,3.236341151561245e-16,1.1408215323240188e-12
270,1.1590273770437941e-12,7.509748346852981e-16,1.1597783518784795e-12
271,1.0666238430858305e-12,4.90926117801817e-17,1.0666729356976106e-12
272,1.0797512791538812e-12,7.39629637736909e-17,1.079825242117655e-12
273,1.0568313287001742e-12,3.173923583122821e-17,1.0568630679360054e-12
274,1.049404860706145e-12,2.0015507791408193e-17,1.0494248762139364e-12
275,1.0402728044856348e-12,8.416834324607909e-18,1.0402812213199595e-12
