element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3228,2.803956866753792e-07,2.8039569257215735e-07,2.9096932493031926e-07,2.103020234547771e-08
3229,1.5473612586571894e-07,1.5473613315031973e-07,1.621236371465765e-07,4.707756775673325e-08
3230,2.1111378853188425e-07,2.1111379353399904e-07,2.200741380177201e-07,2.369392691483892e-08
3231,3.3584570336500546e-07,3.3584570928504165e-07,3.48190069999514e-07,1.762724974697317e-08
3232,3.299814188932101e-07,3.299814220955724e-07,3.375527498934902e-07,9.704674431954363e-09
3233,3.9250088881470106e-07,3.9250087955454174e-07,4.003885831629144e-07,2.359270917377619e-08
3234,6.585145011925458e-08,6.585144822269373e-08,6.7166985824577e-08,2.8800593505951686e-08
3235,2.8104449445511343e-07,2.8104449933448875e-07,2.867371544961228e-07,1.7361575616042044e-08
3236,5.082237867830358e-08,5.08223768627742e-08,5.256321398999825e-08,3.5723030433069435e-08
3237,5.1512155090637235e-08,5.1512156579221433e-08,5.334627848178637e-08,2.8897726229237563e-08
3238,2.4376531538685783e-08,2.437653134856377e-08,2.486658058236647e-08,7.799387457059364e-09
3239,2.0753224896995874e-07,2.075322528524389e-07,2.1531964799172628e-07,1.870783984376347e-08
3240,2.7722565322579035e-08,2.7722564755959425e-08,2.8281275698234572e-08,2.043893135617113e-08
3241,2.9173204430754623e-08,2.917320574917937e-08,2.976858772965487e-08,4.51930019892513e-08
3242,2.457146269977899e-08,2.4571463678312227e-08,2.5181965905766697e-08,3.9823970202773775e-08
3243,4.580084632578809e-08,4.580084782888016e-08,4.701268678761792e-08,3.281799669650709e-08
3244,3.6908974622834e-08,3.690897261207515e-08,3.789121534126345e-08,5.447885981289003e-08
3245,2.534585267467209e-08,2.534585268068657e-08,2.5860159778778353e-08,2.3729641059946764e-10
3246,2.606802393316464e-08,2.60680239942568e-08,2.670755342139691e-08,2.34356691899422e-09
3247,2.408872486111222e-08,2.4088726291985657e-08,2.4574792144119433e-08,5.9400128542386063e-08
3248,1.5309428555984237e-08,1.5309429109773646e-08,1.5619903250637263e-08,3.617309343910525e-08
3249,1.637181734608226e-08,1.6371817223125744e-08,1.6707697127563637e-08,7.51025462387025e-09
3250,2.9999188889759496e-08,2.9999188309831705e-08,3.070514333259564e-08,1.933144902977593e-08
3251,2.6179134015686553e-08,2.6179133812973532e-08,2.679212891646661e-08,7.743305030738007e-09
3252,3.4390836024088446e-08,3.4390837026257873e-08,3.517258821981725e-08,2.9140594231359048e-08
3253,1.8479396836391193e-08,1.847939695081461e-08,1.8867411352194382e-08,6.1919454397229915e-09
3254,2.2095352952411588e-08,2.2095352325126675e-08,2.2546086142395936e-08,2.8389902378934694e-08
3255,3.6966966912605604e-08,3.6966968843381076e-08,3.773437398723556e-08,5.2229748135347214e-08
3256,2.3717476445450242e-08,2.3717476758352733e-08,2.4206394955982678e-08,1.3192908076355593e-08
3257,2.6983529879420778e-08,2.698352995220775e-08,2.7554120243305266e-08,2.6974591780459475e-09
3258,2.9194373889449975e-08,2.919437451897654e-08,2.983464906047911e-08,2.1563283220212466e-08
3259,3.3748954577051563e-08,3.3748953852501585e-08,3.450780368667277e-08,2.1468812503253043e-08
