element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
63,3,4,3,F1_equilibrated,F3_release_last,4.750752233873001e-05,1.0133429906691036e-05
63,4,3,4,F1_equilibrated,F3_release_last,2.1422158271236502e-05,7.957823602000895e-06
64,1,1,1,F1_equilibrated,F3_release_last,5.4022782420054885e-05,9.27815517371127e-06
64,2,2,2,F1_equilibrated,F3_release_last,5.251198586168904e-05,9.300301005849866e-06
64,3,4,3,F1_equilibrated,F3_release_last,5.3064556569049764e-05,9.942701687879439e-06
64,4,3,4,F1_equilibrated,F3_release_last,5.598607740921191e-05,1.141890007696285e-05
65,1,1,1,F1_equilibrated,F3_release_last,4.849323102915255e-05,8.296507577974961e-06
65,2,2,2,F1_equilibrated,F3_release_last,3.902458520185781e-05,8.105242403853505e-06
65,3,4,3,F1_equilibrated,F3_release_last,1.850234276298303e-05,5.691192216041637e-06
65,4,3,4,F1_equilibrated,F3_release_last,4.302082014128773e-05,7.2964498806478775e-06
66,1,1,1,F1_equilibrated,F3_release_last,3.003471141835995e-05,9.23817792451557e-06
66,2,2,2,F1_equilibrated,F3_release_last,1.49425653154997e-05,5.674055868126965e-06
66,3,4,3,F1_equilibrated,F3_release_last,2.9735549843640588e-05,7.915190939064955e-06
66,4,3,4,F1_equilibrated,F3_release_last,1.49425653154997e-05,6.70862764693466e-06
67,1,1,1,F1_equilibrated,F3_release_last,1.6057443274168984e-05,7.489164369222506e-06
67,2,2,2,F1_equilibrated,F3_release_last,3.4195492604350425e-05,8.276487714397717e-06
67,3,4,3,F1_equilibrated,F3_release_last,4.04226945038659e-05,9.712773635719768e-06
67,4,3,4,F1_equilibrated,F3_release_last,3.656292988270596e-05,9.821255324953156e-06
68,1,1,1,F1_equilibrated,F3_release_last,3.899818340399874e-05,7.646169465102366e-06
68,2,2,2,F1_equilibrated,F3_release_last,3.3981329351489425e-05,7.2107886849414726e-06
68,3,4,3,F1_equilibrated,F3_release_last,1.5633919147847383e-05,5.30917333646584e-06
68,4,3,4,F1_equilibrated,F3_release_last,3.4814782979078474e-05,7.614724293484969e-06
69,1,1,1,F1_equilibrated,F3_release_last,2.7254233982599782e-05,8.0124448774083e-06
69,2,2,2,F1_equilibrated,F3_release_last,1.389232169994592e-05,1.1327610809423868e-05
69,3,4,3,F1_equilibrated,F3_release_last,2.8315052817178693e-05,9.098349301891366e-06
69,4,3,4,F1_equilibrated,F3_release_last,1.389232169994592e-05,5.582655487000685e-06
70,1,1,1,F1_equilibrated,F3_release_last,1.5312982468899602e-05,5.6993548863972475e-06
70,2,2,2,F1_equilibrated,F3_release_last,3.2556212152668254e-05,7.313672431944439e-06
70,3,4,3,F1_equilibrated,F3_release_last,3.955694424945082e-05,9.931759492881262e-06
70,4,3,4,F1_equilibrated,F3_release_last,3.5191867703369614e-05,8.755806583885667e-06
71,1,1,1,F1_equilibrated,F3_release_last,3.740468158290079e-05,6.923515695433664e-06
