node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
186,-0.21250000000000002,-0.475,0.0008240561960972914,0.0007706236485761931,-5.34325475210983e-05,-4.069871102201745e-05
187,-0.2,-0.475,0.0009552999392285891,0.0009150516536206702,-4.0248285607918824e-05,-2.256583869247907e-05
188,-0.1875,-0.475,0.0010179747713159085,0.0010654552349705425,4.748046365463392e-05,7.789482900340088e-05
189,-0.175,-0.475,0.00132102775677763,0.0012740482505310471,-4.697950624658279e-05,-2.414696195758093e-05
190,-0.16249999999999998,-0.475,0.0015750792161750172,0.001490023358834135,-8.505585734088221e-05,-6.120067884108379e-05
191,-0.15000000000000002,-0.475,0.0016378142131400083,0.001689785872201794,5.197165906178566e-05,8.966934863182795e-05
192,-0.1375,-0.475,0.001963563216016923,0.0019510436690669348,-1.251954694998802e-05,1.857996430910773e-05
193,-0.125,-0.475,0.002377873140337545,0.0022395914409607015,-0.0001382816993768434,-0.00011156043262107191
194,-0.11249999999999999,-0.475,0.0024667252186440724,0.0024962547548519156,2.9529536207843245e-05,7.073409782245221e-05
195,-0.09999999999999998,-0.475,0.002758662500539718,0.0027988906584851415,4.022815794542346e-05,8.705595266158541e-05
196,-0.08750000000000002,-0.475,0.0033181556062204173,0.0031507402891329203,-0.00016741531708749707,-0.00012868619849875675
197,-0.07500000000000001,-0.475,0.0034825190210502855,0.003462598099296391,-1.992092175389466e-05,3.9492357330858825e-05
198,-0.0625,-0.475,0.0037250471627894525,0.0038081377276880262,8.309056489857374e-05,0.00016004162371979032
199,-0.04999999999999999,-0.475,0.0043770008566462225,0.004224756241783588,-0.00015224461486263493,-9.74789151546333e-05
200,-0.03749999999999998,-0.475,0.004654341205732932,0.004598363364335573,-5.5977841397358494e-05,1.2483593075106152e-05
201,-0.025000000000000022,-0.475,0.0048540728791737625,0.004967627181801585,0.00011355430262782219,0.00020944805367527613
202,-0.012500000000000011,-0.475,0.0055157503815070254,0.005421185426145841,-9.456495536118437e-05,-2.7353515413048105e-05
203,0.0,-0.475,0.005931421759707695,0.005827334696619426,-0.00010408706308826909,-2.841780248434827e-05
204,0.012499999999999956,-0.475,0.0059522806664635925,0.00617658850091126,0.0002243078344476672,0.0003496903387084759
205,0.025000000000000022,-0.475,0.006680974619819067,0.006628210723567613,-5.276389625145407e-05,4.483874385918969e-05
206,0.03749999999999998,-0.475,0.007202936594469878,0.007055120496221457,-0.00014781609824842095,-5.965414343952948e-05
207,0.050000000000000044,-0.475,0.007212941379463798,0.007393142471849037,0.0001802010923852397,0.0003155337404006104
208,0.0625,-0.475,0.007818532933941559,0.007815119608959274,-3.41332498228486e-06,0.00011217279276411023
209,0.07499999999999996,-0.475,0.008403886626868414,0.008227234791185147,-0.00017665183568326727,-7.946633175351381e-05
