node,x,y,reconstructed_residual,forensic_residual,residual_error
200,-0.03749999999999998,-0.475,6.5113704802761415e-09,6.511370480276064e-09,7.77549775799846e-23
201,-0.025000000000000022,-0.475,-1.5936544962879532e-08,-1.5936544962879495e-08,-3.639594695233322e-23
202,-0.012500000000000011,-0.475,1.037819237468796e-08,1.037819237468809e-08,-1.3069453678337837e-22
203,0.0,-0.475,1.258176722899917e-08,1.2581767228999286e-08,-1.1580528575742387e-22
204,0.012499999999999956,-0.475,-3.10057106105002e-08,-3.1005710610500075e-08,-1.257314531080602e-22
205,0.025000000000000022,-0.475,4.6983763824304465e-09,4.698376382430425e-09,2.150669592637872e-23
206,0.03749999999999998,-0.475,1.6777362712083004e-08,1.6777362712083196e-08,-1.9190590211230242e-22
207,0.050000000000000044,-0.475,-2.545555241148313e-08,-2.5455552411483225e-08,9.595295105615121e-23
208,0.0625,-0.475,-1.311815506605346e-09,-1.3118155066052669e-09,-7.92025436519524e-23
209,0.07499999999999996,-0.475,2.0826223119873286e-08,2.082622311987316e-08,1.257314531080602e-22
210,0.08750000000000002,-0.475,-1.3113029122492921e-08,-1.3113029122493105e-08,1.8363409598677214e-22
211,0.09999999999999998,-0.475,-1.5298289749745733e-09,-1.5298289749745108e-09,-6.245213624775359e-23
212,0.11250000000000004,-0.475,2.908080613818046e-08,2.9080806138180546e-08,-8.602678370551488e-23
213,0.125,-0.475,-8.626796289249062e-09,-8.626796289248926e-09,-1.3565762045869654e-22
214,0.13749999999999996,-0.475,-5.840807247884212e-09,-5.840807247883793e-09,-4.1938057056438503e-22
215,0.15000000000000002,-0.475,1.004204500920154e-08,1.0042045009201733e-08,-1.9356026333740848e-22
216,0.16249999999999998,-0.475,-3.153510129475126e-09,-3.153510129475102e-09,-2.3988237764037803e-23
217,0.17500000000000004,-0.475,-8.39489777753592e-09,-8.394897777536286e-09,3.672681919735443e-22
218,0.1875,-0.475,4.708629546928059e-09,4.7086295469278e-09,2.5890753172909766e-22
219,0.19999999999999996,-0.475,-4.478181619149073e-10,-4.478181619148256e-10,-8.168408548961148e-23
