node,x,y,d_F1,d_compatible,d_compatible_minus_F1
126,0.050000000000000044,-0.4875,0.007276807109209844,0.007452502490479826,0.00017569538126998175
127,0.0625,-0.4875,0.007824404250979964,0.007868621627685509,4.42173767055444e-05
128,0.07499999999999996,-0.4875,0.008321589121760866,0.008321589121760866,0.0
129,0.08750000000000002,-0.4875,0.008437239103066901,0.008592491410882419,0.0001552523078155177
130,0.09999999999999998,-0.4875,0.008849017872686566,0.008952079388732156,0.00010306151604558972
131,0.11250000000000004,-0.4875,0.009356665732662178,0.009356665732662178,0.0
132,0.125,-0.4875,0.009485398951743391,0.009596990100390113,0.0001115911486467211
133,0.13749999999999996,-0.4875,0.009757747870052551,0.009868740513490654,0.00011099264343810214
134,0.15000000000000002,-0.4875,0.01021387973107037,0.01021387973107037,0.0
135,0.16249999999999998,-0.4875,0.010355729451784352,0.010399979174773475,4.424972298912311e-05
136,0.17500000000000004,-0.4875,0.010519035479609353,0.010624658639796154,0.00010562316018680046
137,0.1875,-0.4875,0.010892513759912636,0.010892513759912636,0.0
138,0.19999999999999996,-0.4875,0.011032992353009762,0.011046401675729227,1.3409322719464684e-05
139,0.21250000000000002,-0.4875,0.011125191840208869,0.011210863591568697,8.567175135982749e-05
140,0.22499999999999998,-0.4875,0.01140301477194837,0.01140301477194837,0.0
141,0.23750000000000004,-0.4875,0.011536347414128944,0.011536347414128944,0.0
142,0.25,-0.4875,0.011592373885908225,0.011655703838143374,6.332995223514923e-05
143,0.26249999999999996,-0.4875,0.011783803157749632,0.011786946624081569,3.1434663319371975e-06
144,0.275,-0.4875,0.011913074670691776,0.011913074670691776,0.0
145,0.2875,-0.4875,0.011951615761605597,0.011996205475237415,4.458971363181796e-05
146,0.30000000000000004,-0.4875,0.01208336353852901,0.012101323235882134,1.7959697353124582e-05
147,0.3125,-0.4875,0.012212775446106362,0.012212775446106362,0.0
148,0.32499999999999996,-0.4875,0.012253775403450132,0.012290952422098309,3.71770186481761e-05
149,0.3375,-0.4875,0.012354506090146945,0.012385169109344186,3.066301919724124e-05
150,0.35,-0.4875,0.012500788796488088,0.012500788796488088,0.0
151,0.36250000000000004,-0.4875,0.012558840565441086,0.01258744422867529,2.8603663234203977e-05
152,0.375,-0.4875,0.012648798318781773,0.012699904163489165,5.110584470739178e-05
153,0.38749999999999996,-0.4875,0.012844974486826807,0.012844974486826807,0.0
154,0.4,-0.4875,0.01292001619268728,0.012959393447622498,3.9377254935217196e-05
155,0.4125,-0.4875,0.013028734666535497,0.01310527531380192,7.654064726642269e-05
156,0.42500000000000004,-0.4875,0.01330926754978122,0.01330926754978122,0.0
157,0.4375,-0.4875,0.013464268134851031,0.013466530444107592,2.262309256560735e-06
158,0.44999999999999996,-0.4875,0.013557621414387868,0.01365354711785322,9.592570346535212e-05
159,0.4625,-0.4875,0.013854881937125136,0.01388487713093834,2.9995193813204743e-05
160,0.475,-0.4875,0.014080382003856598,0.014080382003856598,0.0
161,0.48750000000000004,-0.4875,0.014109811780458729,0.01415771503323927,4.790325278054147e-05
162,0.5,-0.4875,0.014095696401878256,0.014177578127414556,8.18817255363001e-05
163,-0.5,-0.475,0.0003323922417386824,0.00037060685505808266,3.821461331940027e-05
164,-0.4875,-0.475,0.00033235821878283613,0.0003564125908288907,2.405437204605458e-05
165,-0.475,-0.475,0.0003317649805963746,0.00033224801258203,4.830319856553508e-07
166,-0.4625,-0.475,0.0002946925929525226,0.0002946925929525226,0.0
167,-0.45,-0.475,0.00019857595914122975,0.0002283117027662062,2.9735743624976455e-05
168,-0.4375,-0.475,0.00015381760990597912,0.00017664371131420264,2.2826101408223522e-05
169,-0.425,-0.475,0.00014359913401749093,0.00014359913401749093,0.0
170,-0.4125,-0.475,8.984254589478296e-05,9.516500095252391e-05,5.322455057740947e-06
171,-0.4,-0.475,4.817021111072887e-05,6.026979759792082e-05,1.2099586487191949e-05
172,-0.3875,-0.475,4.1781021444936835e-05,4.1781021444936835e-05,0.0
173,-0.375,-0.475,3.1915654234194186e-05,3.1915654234194186e-05,0.0
174,-0.3625,-0.475,2.188430738186984e-05,2.489021468179884e-05,3.005907299929e-06
175,-0.35,-0.475,2.0310504643173363e-05,2.8125158869873965e-05,7.814654226700602e-06
176,-0.3375,-0.475,4.5210518019570404e-05,4.610010001017972e-05,8.895819906093149e-07
177,-0.325,-0.475,7.323480580797892e-05,7.323480580797892e-05,0.0
178,-0.3125,-0.475,7.98928011020564e-05,9.877170902931278e-05,1.8878907927256385e-05
