node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
6284,-0.425,0.4625,True,0.00018719071045366088,0.0001871907104536609,0.00018719071045366088,0.00018719071045366088,0.00018719071045366088,0.0,0.0
6285,-0.4125,0.4625,True,9.82149860459204e-05,9.821498604592038e-05,9.82149860459204e-05,9.82149860459204e-05,9.82149860459204e-05,0.0,0.0
6286,-0.4,0.4625,True,6.856474886679826e-05,6.856474886679826e-05,6.856474886679826e-05,6.856474886679826e-05,6.856474886679826e-05,0.0,0.0
6287,-0.3875,0.4625,True,6.473023389027893e-05,6.473023389027893e-05,6.473023389027893e-05,6.473023389027893e-05,6.473023389027893e-05,0.0,0.0
6288,-0.375,0.4625,True,3.166312707885435e-05,3.166312707885435e-05,3.166312707885435e-05,3.166312707885435e-05,3.166312707885435e-05,0.0,0.0
6289,-0.3625,0.4625,True,2.5481440671560768e-05,2.548144067156076e-05,2.5481440671560768e-05,2.5481440671560768e-05,2.5481440671560768e-05,0.0,0.0
6290,-0.35,0.4625,True,3.258987980315456e-05,3.258987980315456e-05,3.258987980315456e-05,3.258987980315456e-05,3.258987980315456e-05,0.0,0.0
6291,-0.3375,0.4625,True,5.567494319320379e-05,5.567494319320379e-05,5.567494319320379e-05,5.567494319320379e-05,5.567494319320379e-05,0.0,0.0
6292,-0.325,0.4625,True,6.471271269127077e-05,6.471271269127077e-05,6.471271269127077e-05,6.471271269127077e-05,6.471271269127077e-05,0.0,0.0
6293,-0.3125,0.4625,True,9.233374657748432e-05,9.233374657748432e-05,9.233374657748432e-05,9.233374657748432e-05,9.233374657748432e-05,0.0,0.0
6294,-0.3,0.4625,True,0.00013891010372863436,0.00013891010372863436,0.00013891010372863436,0.00013891010372863436,0.00013891010372863436,0.0,0.0
6295,-0.2875,0.4625,True,0.00018964374273363704,0.00018964374273363704,0.00018964374273363704,0.0001896437427336371,0.00018964374273363704,0.0,0.0
6296,-0.275,0.4625,True,0.00024166901950490384,0.00024166901950490384,0.00024166901950490384,0.00024166901950490384,0.00024166901950490384,0.0,0.0
6297,-0.2625,0.4625,True,0.0003312864363517093,0.00033128643635170924,0.00033128643635170935,0.00033128643635170935,0.00033128643635170935,0.0,5.421010862427522e-20
6298,-0.25,0.4625,True,0.00043688257137906633,0.0004368825713790664,0.0004368825713790664,0.0004368825713790664,0.0004368825713790664,0.0,5.421010862427522e-20
6299,-0.2375,0.4625,True,0.0005083525478706342,0.0005083525478706342,0.0005083525478706342,0.0005083525478706342,0.0005083525478706342,0.0,0.0
6300,-0.22499999999999998,0.4625,True,0.0006414807430455433,0.0006414807430455433,0.0006414807430455433,0.0006414807430455433,0.0006414807430455433,0.0,0.0
6301,-0.21250000000000002,0.4625,True,0.0008334438269203817,0.0008334438269203817,0.0008334438269203817,0.0008334438269203817,0.0008334438269203817,0.0,0.0
6302,-0.2,0.4625,True,0.0009199573423891402,0.00091995734238914,0.00091995734238914,0.0009199573423891402,0.00091995734238914,0.0,-1.0842021724855044e-19
6303,-0.1875,0.4625,True,0.0011020435733130076,0.0011020435733130078,0.0011020435733130076,0.0011020435733130078,0.0011020435733130076,0.0,0.0
6304,-0.175,0.4625,True,0.00132216838981122,0.0013221683898112196,0.00132216838981122,0.00132216838981122,0.00132216838981122,0.0,0.0
6305,-0.16249999999999998,0.4625,True,0.0015135576707490444,0.0015135576707490444,0.0015135576707490444,0.0015135576707490444,0.0015135576707490444,0.0,0.0
6306,-0.15000000000000002,0.4625,True,0.001747907718699455,0.001747907718699455,0.0017479077186994551,0.0017479077186994551,0.0017479077186994551,0.0,2.168404344971009e-19
6307,-0.1375,0.4625,True,0.0020602769811469187,0.0020602769811469187,0.0020602769811469187,0.0020602769811469187,0.0020602769811469187,0.0,0.0
6308,-0.125,0.4625,True,0.0024068319512816367,0.0024068319512816367,0.0024068319512816367,0.002406831951281637,0.0024068319512816367,0.0,0.0
6309,-0.11249999999999999,0.4625,True,0.002580824918294594,0.0025808249182945942,0.0025808249182945942,0.0025808249182945942,0.0025808249182945942,0.0,4.336808689942018e-19
6310,-0.09999999999999998,0.4625,True,0.002899767755855945,0.002899767755855945,0.002899767755855945,0.002899767755855945,0.002899767755855945,0.0,0.0
6311,-0.08750000000000002,0.4625,True,0.003459665971371211,0.003459665971371211,0.003459665971371211,0.0034596659713712107,0.003459665971371211,0.0,0.0
6312,-0.07500000000000001,0.4625,True,0.003593076223362069,0.003593076223362069,0.003593076223362069,0.00359307622336207,0.003593076223362069,0.0,0.0
6313,-0.0625,0.4625,True,0.003945962296644512,0.003945962296644512,0.003945962296644512,0.003945962296644512,0.003945962296644512,0.0,0.0
6314,-0.04999999999999999,0.4625,True,0.004571694848847952,0.004571694848847952,0.004571694848847952,0.004571694848847953,0.004571694848847952,0.0,0.0
6315,-0.03749999999999998,0.4625,True,0.004735534488781016,0.004735534488781017,0.004735534488781017,0.004735534488781017,0.004735534488781017,0.0,8.673617379884035e-19
6316,-0.025000000000000022,0.4625,True,0.005124307597497421,0.005124307597497421,0.005124307597497421,0.005124307597497421,0.005124307597497421,0.0,0.0
