frame_tag,step,frame_index,element,integration_point,odb_integration_point,uel_integration_point,expected_sdv15,odb_sdv15,sdv15_error,expected_sdv16,odb_sdv16,sdv16_error,odb_sdv12,odb_sdv13
F0_ingested,INGEST_TRANSFERRED_STATE,1,23,3,4,3,0.0007660813824294586,0.0007660813824294586,0.0,6.586636220015489e-05,6.586636220015489e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,23,4,3,4,0.0006565281307977103,0.0006565281307977103,0.0,5.58683522227677e-05,5.58683522227677e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,24,1,1,1,0.0008091215423734746,0.0008091215423734744,-2.168404344971009e-19,7.046174428415245e-05,7.046174428415245e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,24,2,2,2,0.0008654094735320804,0.0008654094735320802,-2.168404344971009e-19,7.546434180087591e-05,7.546434180087591e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,24,3,4,3,0.000898814205060987,0.000898814205060987,0.0,7.890088027989019e-05,7.890088027989019e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,24,4,3,4,0.0008310017403656107,0.0008310017403656107,0.0,7.29004827351323e-05,7.29004827351323e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,25,1,1,1,0.0009347297701531124,0.0009347297701531124,0.0,7.739265082782239e-05,7.739265082782239e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,25,2,2,2,0.0010678284113589118,0.0010678284113589116,-2.168404344971009e-19,9.504389188491586e-05,9.504389188491586e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,25,3,4,3,0.0010345650920898218,0.0010345650920898215,-2.168404344971009e-19,9.003854838960016e-05,9.003854838960016e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,25,4,3,4,0.000953358840764062,0.0009533588407640618,-1.0842021724855044e-19,8.062508027961142e-05,8.062508027961142e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,26,1,1,1,0.001156113241791002,0.001156113241791002,0.0,9.99217263213923e-05,9.99217263213923e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,26,2,2,2,0.0012642132428632763,0.0012642132428632763,0.0,0.00010971601703970612,0.00010971601703970612,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,26,3,4,3,0.0012596341464939033,0.0012596341464939033,0.0,0.00010884533831046514,0.00010884533831046514,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,26,4,3,4,0.001116631312921728,0.001116631312921728,0.0,9.567410097248948e-05,9.567410097248948e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,27,1,1,1,0.0013392197787709906,0.0013392197787709906,0.0,0.00011764307736322388,0.00011764307736322388,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,27,2,2,2,0.0014360414446983319,0.0014360414446983319,0.0,0.0001264090212982671,0.0001264090212982671,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,27,3,4,3,0.0014809603899702205,0.0014809603899702205,0.0,0.00013120424955581837,0.00013120424955581837,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,27,4,3,4,0.0013572558284682232,0.0013572558284682232,0.0,0.00011991667928506175,0.00011991667928506175,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,28,1,1,1,0.0015348817775631927,0.0015348817775631927,0.0,0.00013031212012314182,0.00013031212012314182,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,28,2,2,2,0.0017080969228596716,0.0017080969228596716,0.0,0.00015362524587671982,0.00015362524587671982,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,28,3,4,3,0.0016636787982595267,0.0016636787982595267,0.0,0.00014715750092106185,0.00014715750092106185,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,28,4,3,4,0.0015630661772681467,0.0015630661772681467,0.0,0.00013530078737834886,0.00013530078737834886,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,29,1,1,1,0.0018162021363018848,0.0018162021363018848,0.0,0.00015845952675482277,0.00015845952675482277,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,29,2,2,2,0.0019383359266926105,0.0019383359266926105,0.0,0.00016954766645648482,0.00016954766645648482,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,29,3,4,3,0.0019128080682748634,0.0019128080682748634,0.0,0.00016635792446830535,0.00016635792446830535,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,29,4,3,4,0.0017573918555141104,0.0017573918555141104,0.0,0.00015216384385613086,0.00015216384385613086,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,30,1,1,1,0.0020357225823318184,0.0020357225823318184,0.0,0.00017981525346384274,0.00017981525346384274,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,30,2,2,2,0.002179654083126625,0.002179654083126625,0.0,0.00019290913974008198,0.00019290913974008198,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,30,3,4,3,0.0022315722853818182,0.0022315722853818182,0.0,0.00019844883103114878,0.00019844883103114878,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,30,4,3,4,0.0020398643315245584,0.0020398643315245584,0.0,0.0001806967488619282,0.0001806967488619282,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,31,1,1,1,0.002319103794214298,0.002319103794214298,0.0,0.00019970419942402258,0.00019970419942402258,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,31,2,2,2,0.002556155989211816,0.002556155989211816,0.0,0.00023192359503648453,0.00023192359503648453,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,31,3,4,3,0.0025016782970153388,0.0025016782970153388,0.0,0.00022431754967606218,0.00022431754967606218,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,31,4,3,4,0.002355314964488487,0.002355314964488487,0.0,0.0002064603831566643,0.0002064603831566643,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,32,1,1,1,0.0026880545241826587,0.0026880545241826587,0.0,0.00023622590800872106,0.00023622590800872106,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,32,2,2,2,0.0028113558281693844,0.0028113558281693844,0.0,0.00024730852006461665,0.00024730852006461665,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,32,3,4,3,0.0027582344123834425,0.0027582344123834425,0.0,0.00024141716393663115,0.00024141716393663115,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,32,4,3,4,0.002609640237693586,0.002609640237693586,0.0,0.00022812949580954317,0.00022812949580954317,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,33,1,1,1,0.0029228899698554756,0.0029228899698554756,0.0,0.0002587395233311108,0.0002587395233311108,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,33,2,2,2,0.0031043056077337374,0.0031043056077337374,0.0,0.00027503852930733735,0.00027503852930733735,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,33,3,4,3,0.003151856390309226,0.003151856390309226,0.0,0.0002799912823883371,0.0002799912823883371,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,33,4,3,4,0.002903520792599914,0.002903520792599914,0.0,0.00025714241685087616,0.00025714241685087616,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,34,1,1,1,0.0032775783317669106,0.0032775783317669106,0.0,0.0002844514906946509,0.0002844514906946509,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,34,2,2,2,0.0035695525795131394,0.003569552579513139,-4.336808689942018e-19,0.00029200614269899155,0.00029200614269899155,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,34,3,4,3,0.003505307859553942,0.003505307859553942,0.0,0.000299715183250577,0.000299715183250577,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,34,4,3,4,0.003313104748915052,0.003313104748915052,0.0,0.0002919953222859414,0.0002919953222859414,0.0,0.0,0.0
