element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
99,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
100,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
100,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
100,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
100,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
101,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
101,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
101,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
101,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
102,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
102,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
