node,x,y,F1_phase_residual,F1_phase_residual_abs
4988,-0.425,0.26249999999999996,8.303856551998274e-10,8.303856551998274e-10
4989,-0.4125,0.26249999999999996,-3.4336407714782404e-10,3.4336407714782404e-10
4990,-0.4,0.26249999999999996,2.343609552183171e-10,2.343609552183171e-10
4991,-0.3875,0.26249999999999996,6.488065801286579e-10,6.488065801286579e-10
4992,-0.375,0.26249999999999996,1.407780662169436e-10,1.407780662169436e-10
4993,-0.3625,0.26249999999999996,2.560078376195192e-11,2.560078376195192e-11
4994,-0.35,0.26249999999999996,-2.203062365067818e-10,2.203062365067818e-10
4995,-0.3375,0.26249999999999996,2.0079604575735298e-10,2.0079604575735298e-10
4996,-0.325,0.26249999999999996,-9.213439615039901e-11,9.213439615039901e-11
4997,-0.3125,0.26249999999999996,5.1810119401168235e-11,5.1810119401168235e-11
4998,-0.3,0.26249999999999996,-2.2742404151042635e-10,2.2742404151042635e-10
4999,-0.2875,0.26249999999999996,1.6334007878796393e-09,1.6334007878796393e-09
5000,-0.275,0.26249999999999996,-2.3174144941918887e-10,2.3174144941918887e-10
5001,-0.2625,0.26249999999999996,-5.370194089028786e-10,5.370194089028786e-10
5002,-0.25,0.26249999999999996,-1.5984007117850233e-09,1.5984007117850233e-09
5003,-0.2375,0.26249999999999996,5.447052954223439e-09,5.447052954223439e-09
5004,-0.22499999999999998,0.26249999999999996,1.499983812306226e-09,1.499983812306226e-09
5005,-0.21250000000000002,0.26249999999999996,-3.2422491118944856e-09,3.2422491118944856e-09
5006,-0.2,0.26249999999999996,-7.3866481652500694e-09,7.3866481652500694e-09
5007,-0.1875,0.26249999999999996,1.1823104329707356e-08,1.1823104329707356e-08
5008,-0.175,0.26249999999999996,1.8137322862114484e-09,1.8137322862114484e-09
5009,-0.16249999999999998,0.26249999999999996,-5.0879131465660244e-09,5.0879131465660244e-09
5010,-0.15000000000000002,0.26249999999999996,1.749739357310923e-09,1.749739357310923e-09
5011,-0.1375,0.26249999999999996,-2.0042439519293893e-08,2.0042439519293893e-08
5012,-0.125,0.26249999999999996,2.5730108000880713e-08,2.5730108000880713e-08
5013,-0.11249999999999999,0.26249999999999996,-1.730171304179388e-08,1.730171304179388e-08
