node,x,y,F1_d,F3_d,F3_minus_F1_d,F1_phase_residual
760,-0.125,-0.3875,0.002285243922802378,0.00218632766889653,-9.891625390584828e-05,2.0809616247728168e-08
761,-0.11249999999999999,-0.3875,0.0024722854985661027,0.0024846423321553046,1.235683358920183e-05,7.280553807685704e-09
762,-0.09999999999999998,-0.3875,0.0025679661515191935,0.0028191215452826783,0.0002511553937634848,-6.546189130578603e-09
763,-0.08750000000000002,-0.3875,0.0028992731873507807,0.0032065639027049507,0.00030729071535417,-2.3116872862918547e-08
764,-0.07500000000000001,-0.3875,0.0038572236842711015,0.0036547565420580255,-0.00020246714221307596,3.276900181738084e-08
765,-0.0625,-0.3875,0.004137962165336054,0.004040130351141018,-9.783181419503652e-05,9.55707886516602e-09
766,-0.04999999999999999,-0.3875,0.0043081638405095485,0.0044015528559262,9.338901541665161e-05,-4.2861284259890607e-10
767,-0.03749999999999998,-0.3875,0.004468611958777969,0.004805531394737353,0.0003369194359593838,-2.802545811760284e-08
768,-0.025000000000000022,-0.3875,0.004997470498198068,0.0052467216727044436,0.0002492511745063753,-1.8881021563580544e-08
769,-0.012500000000000011,-0.3875,0.00567356718340477,0.005698325246679566,2.4758063274796585e-05,7.071859868522151e-09
770,0.0,-0.3875,0.005860888086188504,0.006131287805380661,0.0002703997191921565,-2.1562309347935777e-08
771,0.012499999999999956,-0.3875,0.006625791583340454,0.0065955138263443635,-3.0277756996090373e-05,1.7387640649086318e-08
772,0.025000000000000022,-0.3875,0.007023174725572377,0.007028220717354931,5.045991782554049e-06,1.0406088011293226e-08
773,0.03749999999999998,-0.3875,0.007304891832443259,0.007458718431020746,0.00015382659857748632,-6.922256139073856e-09
774,0.050000000000000044,-0.3875,0.00794095245517213,0.007897215500521918,-4.373695465021213e-05,2.22591998224478e-08
775,0.0625,-0.3875,0.008104415698065961,0.00830826593744674,0.0002038502393807793,-1.218735378195957e-08
776,0.07499999999999996,-0.3875,0.008653382459074085,0.008710022430884189,5.6639971810103565e-05,8.014143417911234e-09
777,0.08750000000000002,-0.3875,0.008989527897007814,0.009089837763553823,0.00010030986654600837,9.60580907877319e-11
778,0.09999999999999998,-0.3875,0.009266658715607449,0.009444601173421673,0.0001779424578142244,-1.0540681187220441e-08
779,0.11250000000000004,-0.3875,0.009737759575799768,0.00978073908922044,4.297951342067258e-05,8.594664238886004e-09
780,0.125,-0.3875,0.009857211858845586,0.010089078963264362,0.0002318671044187759,-1.8051070271825684e-08
781,0.13749999999999996,-0.3875,0.010155646800327909,0.010375936860144305,0.00022029005981639635,-1.0998639296217577e-08
782,0.15000000000000002,-0.3875,0.01041400932362957,0.010638451991226445,0.0002244426675968754,-1.4166717955937806e-08
783,0.16249999999999998,-0.3875,0.01095499169424032,0.010881702656851,-7.328903738931976e-05,2.378704641930771e-08
784,0.17500000000000004,-0.3875,0.011022026301291853,0.01109381795699416,7.179165570230656e-05,4.396820176720277e-09
785,0.1875,-0.3875,0.011225277585681955,0.01128679241977264,6.151483409068577e-05,5.704977533014854e-09
786,0.19999999999999996,-0.3875,0.011420197222280663,0.011455734934527593,3.553771224693025e-05,1.0283755550572242e-08
787,0.21250000000000002,-0.3875,0.011496084124809935,0.011604496102921216,0.00010841197811128044,-2.050451383491752e-09
788,0.22499999999999998,-0.3875,0.011677997788194852,0.011736069539197468,5.8071751002615815e-05,5.451335642498528e-09
789,0.23750000000000004,-0.3875,0.0117631100271363,0.01185124538137579,8.813535423948977e-05,1.3072050209927462e-09
790,0.25,-0.3875,0.011855120926063549,0.011951619150736866,9.649822467331683e-05,7.865375547057959e-10
791,0.26249999999999996,-0.3875,0.011974556889588445,0.012039283379813349,6.47264902249034e-05,4.780605429996468e-09
792,0.275,-0.3875,0.012023345415742329,0.012116207018838686,9.286160309635721e-05,-2.998308365962294e-10
793,0.2875,-0.3875,0.012102228573941803,0.01218429220209322,8.206362815141657e-05,1.296750166947262e-09
794,0.30000000000000004,-0.3875,0.012167650057586212,0.012245649749927756,7.799969234154394e-05,1.3649366655902668e-09
795,0.3125,-0.3875,0.012176197688474113,0.012302481487539655,0.0001262837990655425,-5.038029135668694e-09
796,0.32499999999999996,-0.3875,0.01230376898276008,0.012356963035278508,5.3194052518428306e-05,4.3087986709683166e-09
797,0.3375,-0.3875,0.012323410097962641,0.012411023321917545,8.761322395490351e-05,6.225495019392614e-10
798,0.35,-0.3875,0.012323414741390775,0.012466974628096036,0.000143559886705261,-6.574693144907764e-09
799,0.36250000000000004,-0.3875,0.012481843331852741,0.012527103678902056,4.5260347049314725e-05,6.366895645280427e-09
800,0.375,-0.3875,0.012475767092906594,0.012593604014346716,0.00011783692144012176,-1.8274562580891376e-09
801,0.38749999999999996,-0.3875,0.012467327117346017,0.012668983171106638,0.00020165605376062067,-1.3792372004145826e-08
802,0.4,-0.3875,0.012735806307304627,0.01275582897668788,2.0022669383253436e-05,8.71688900789816e-09
803,0.4125,-0.3875,0.012727575168895788,0.012855938263375805,0.00012836309448001695,-2.831063754786914e-09
804,0.42500000000000004,-0.3875,0.012717772740423532,0.012974582982753339,0.00025681024232980694,-2.031692170895512e-08
805,0.4375,-0.3875,0.013120676749047294,0.013111488538635427,-9.188210411867001e-06,1.2775036363293368e-08
806,0.44999999999999996,-0.3875,0.01311184520631424,0.013261711555790983,0.00014986634947674292,-3.325841209609916e-09
807,0.4625,-0.3875,0.01310324523282048,0.01343850019097256,0.00033525495815208035,-2.469644829395888e-08
808,0.475,-0.3875,0.01357270212931424,0.01362210061446224,4.939848514799901e-05,1.2061350376434002e-08
