step,step_time,variable,value
Step-1,0.44699999690055847,ALLAE,0.0
Step-1,0.4480000138282776,ALLAE,0.0
Step-1,0.4490000009536743,ALLAE,0.0
Step-1,0.44999998807907104,ALLAE,0.0
Step-1,0.45100000500679016,ALLAE,0.0
Step-1,0.4519999921321869,ALLAE,0.0
Step-1,0.453000009059906,ALLAE,0.0
Step-1,0.45399999618530273,ALLAE,0.0
Step-1,0.45500001311302185,ALLAE,0.0
Step-1,0.4560000002384186,ALLAE,0.0
Step-1,0.4569999873638153,ALLAE,0.0
Step-1,0.4580000042915344,ALLAE,0.0
Step-1,0.45899999141693115,ALLAE,0.0
Step-1,0.46000000834465027,ALLAE,0.0
Step-1,0.460999995470047,ALLAE,0.0
Step-1,0.4620000123977661,ALLAE,0.0
Step-1,0.46299999952316284,ALLAE,0.0
Step-1,0.46399998664855957,ALLAE,0.0
Step-1,0.4650000035762787,ALLAE,0.0
Step-1,0.4659999907016754,ALLAE,0.0
Step-1,0.46700000762939453,ALLAE,0.0
Step-1,0.46799999475479126,ALLAE,0.0
Step-1,0.4690000116825104,ALLAE,0.0
Step-1,0.4699999988079071,ALLAE,0.0
Step-1,0.47099998593330383,ALLAE,0.0
Step-1,0.47200000286102295,ALLAE,0.0
Step-1,0.4729999899864197,ALLAE,0.0
Step-1,0.4740000069141388,ALLAE,0.0
Step-1,0.4749999940395355,ALLAE,0.0
Step-1,0.47600001096725464,ALLAE,0.0
Step-1,0.47699999809265137,ALLAE,0.0
Step-1,0.4779999852180481,ALLAE,0.0
Step-1,0.4790000021457672,ALLAE,0.0
Step-1,0.47999998927116394,ALLAE,0.0
Step-1,0.48100000619888306,ALLAE,0.0
Step-1,0.4819999933242798,ALLAE,0.0
Step-1,0.4830000102519989,ALLAE,0.0
Step-1,0.48399999737739563,ALLAE,0.0
Step-1,0.48500001430511475,ALLAE,0.0
Step-1,0.4860000014305115,ALLAE,0.0
Step-1,0.4869999885559082,ALLAE,0.0
Step-1,0.4880000054836273,ALLAE,0.0
Step-1,0.48899999260902405,ALLAE,0.0
Step-1,0.49000000953674316,ALLAE,0.0
Step-1,0.4909999966621399,ALLAE,0.0
Step-1,0.492000013589859,ALLAE,0.0
Step-1,0.49300000071525574,ALLAE,0.0
Step-1,0.49399998784065247,ALLAE,0.0
Step-1,0.4950000047683716,ALLAE,0.0
Step-1,0.4959999918937683,ALLAE,0.0
Step-1,0.4970000088214874,ALLAE,0.0
Step-1,0.49799999594688416,ALLAE,0.0
Step-1,0.49900001287460327,ALLAE,0.0
Step-1,0.5,ALLAE,0.0
Step-1,0.0,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.0010000000474974513,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.0020000000949949026,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.003000000026077032,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.004000000189989805,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.004999999888241291,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.006000000052154064,"ALLAE (Repeated: key = Step-1, 15)",0.0
