element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
139,1.8775889977629556e-12,3.114933973471678e-14,1.9087383374976724e-12
140,1.0954005243939115e-12,2.9793409366884386e-14,1.125193933760796e-12
141,4.237158108403637e-13,1.983901952598803e-14,4.4355483036635176e-13
142,2.190281177232581e-14,9.555301616203615e-16,2.2858341933946173e-14
143,4.376228546946462e-15,2.3836216873162624e-15,6.759850234262725e-15
144,3.9132094844314555e-13,1.7787168840416125e-14,4.091081172835617e-13
145,2.0092333996882216e-14,4.962848507410905e-15,2.5055182504293122e-14
146,1.427911109871015e-14,2.0925148987459747e-15,1.6371625997456124e-14
147,3.617132595123929e-14,3.697496121941108e-16,3.65410755634334e-14
148,4.034938784192281e-13,1.9251666054886383e-14,4.227455444741145e-13
149,1.0673556697544338e-13,1.1438068555876643e-14,1.1817363553132003e-13
150,3.3862179092580374e-14,5.526286181991871e-16,3.441480771077956e-14
151,3.993469788069804e-14,2.726644923428782e-16,4.020736237304092e-14
152,1.648309043801495e-14,7.20654064139794e-15,2.368963107941289e-14
153,2.7376603870296254e-15,2.940767237064593e-15,5.678427624094218e-15
154,1.9135554641999933e-14,1.6108760354118025e-15,2.0746430677411734e-14
155,1.1367074414855346e-11,5.517984394621884e-14,1.1422254258801565e-11
156,1.6053296039912342e-11,5.9262695584067e-14,1.6112558735496408e-11
157,1.6811290349927384e-11,5.895506710645605e-14,1.687024541703384e-11
158,1.0597697944056077e-11,4.153311616079048e-14,1.0639231060216868e-11
159,9.417483604349487e-12,4.1327085755667204e-14,9.458810690105153e-12
160,7.241105481814145e-12,1.7951059120119106e-14,7.259056540934264e-12
161,9.873300330275546e-12,1.8124549032147966e-14,9.891424879307695e-12
162,5.835045310316143e-12,8.861316775607563e-15,5.843906627091751e-12
163,7.017973175245705e-13,4.2351616279125674e-16,7.022208336873617e-13
164,2.1069739347030368e-11,5.98226965390549e-14,2.1129562043569423e-11
165,2.0804255631236818e-11,5.86830863137101e-14,2.0862938717550527e-11
166,2.4449626980867818e-11,5.409262341947083e-14,2.4503719604287288e-11
167,2.5759511837968514e-11,4.783903453210963e-14,2.5807350872500624e-11
168,2.202117622349627e-11,4.82298537652101e-14,2.206940607726148e-11
169,1.8008635164352323e-11,3.246939840864571e-14,1.804110456276097e-11
170,9.039171171067167e-12,1.2236467557712438e-14,9.051407638624879e-12
171,5.736430734964357e-12,6.2841118801899616e-15,5.742714846844547e-12
172,2.7302060853093553e-11,5.997378606542837e-14,2.736203463915898e-11
173,3.6248409785828694e-11,6.219699929979487e-14,3.631060678512849e-11
174,4.1539017762483586e-11,5.939453316736382e-14,4.159841229565095e-11
175,3.328353061717409e-11,4.4108458838819404e-14,3.3327639076012906e-11
176,1.5166260955817606e-11,2.058570234340193e-14,1.5186846658161008e-11
177,2.28980775453174e-11,2.2151380386335045e-14,2.2920228925703736e-11
178,5.2466910651714215e-11,7.182344206007599e-14,5.253873409377429e-11
179,2.620244371162256e-11,3.046692108414132e-14,2.62329106327067e-11
180,2.7777067066800705e-11,3.7131277568824203e-14,2.781419834436953e-11
181,3.769041373203124e-11,4.285014225675876e-14,3.7733263874288004e-11
182,2.9564333454761644e-11,2.8485269398621576e-14,2.9592818724160265e-11
183,8.858350388251797e-11,6.218211202586105e-14,8.864568599454383e-11
