element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3434,5.5981457122660535e-08,5.5981455119896044e-08,5.748796236214515e-08,3.577549771160855e-08
3435,3.565749014861216e-08,3.5657489444986985e-08,3.6417427863121823e-08,1.973288559904321e-08
3436,3.937403899158092e-08,3.937403894208837e-08,4.021838034659148e-08,1.2569842123698626e-09
3437,3.604320465856108e-08,3.604320567175835e-08,3.680864827613311e-08,2.811063133128941e-08
3438,4.3691476147979485e-08,4.3691475913444234e-08,4.460499405364904e-08,5.367986418126773e-09
3439,7.366570037316268e-08,7.366569899674262e-08,7.570387207234261e-08,1.8684680414172948e-08
3440,5.853621297229577e-08,5.8536214577611954e-08,6.03173842091719e-08,2.742432519785403e-08
3441,3.332007660902493e-08,3.33200748197313e-08,3.4056374625953296e-08,5.370016544495532e-08
3442,1.6394265056389035e-07,1.6394265252074642e-07,1.6736106734737985e-07,1.1936223041173502e-08
3443,1.334822122183405e-07,1.3348221246386788e-07,1.3717974302690066e-07,1.8394014546639056e-09
3444,6.768584242480462e-08,6.768584043741884e-08,6.91011275756805e-08,2.9361912471638656e-08
3445,4.928987363329252e-08,4.928987348381559e-08,5.030962714210371e-08,3.0326093148058457e-09
3446,4.7011167233860516e-08,4.701116795207461e-08,4.801287995059246e-08,1.5277520713225077e-08
3447,2.0078239812957515e-07,2.0078239646113457e-07,2.081348241552229e-07,8.30969545053848e-09
3448,4.3440202220979556e-08,4.344020089668141e-08,4.4336273320786616e-08,3.0485542891253055e-08
3449,1.7772371023977554e-07,1.777237100967416e-07,1.8361155624577145e-07,8.048106089927332e-10
3450,2.3107787347848565e-07,2.3107787290355417e-07,2.3776757065182895e-07,2.4880420865000156e-09
3451,1.868263619236265e-07,1.8682636586514382e-07,1.9378537601526745e-07,2.1097221982716092e-08
3452,2.086802463880085e-07,2.086802529071718e-07,2.1595112973151305e-07,3.123996273067159e-08
3453,2.3090350225819103e-07,2.3090350489760342e-07,2.3582983274270653e-07,1.1430802643745863e-08
3454,1.5792301505319484e-07,1.5792301702907069e-07,1.61250199623127e-07,1.2511639432578552e-08
3455,2.90734865685676e-07,2.90734875849235e-07,2.9712219408774406e-07,3.495816917481279e-08
3456,2.633758398848234e-07,2.6337584305526787e-07,2.690800073719348e-07,1.2037719342871641e-08
3457,2.6249298829635703e-07,2.6249298920272305e-07,2.6566438979239006e-07,3.4529151417552814e-09
3458,1.7309817997315098e-07,1.730981776892199e-07,1.7416756031542765e-07,1.3194425785366094e-08
3459,3.2374094786110297e-07,3.2374095211210727e-07,3.3109885610586083e-07,1.313088219945881e-08
3460,6.182293044254301e-08,6.182293111015122e-08,6.310206451787038e-08,1.0798714910155205e-08
3461,4.1152278960457865e-08,4.115227864772836e-08,4.20721161141421e-08,7.59932415062898e-09
3462,4.3820555022609056e-08,4.3820553900178937e-08,4.472999724854249e-08,2.561423785652046e-08
3463,5.5976091478511865e-08,5.5976090531216885e-08,5.7235728329746555e-08,1.6923206942197974e-08
3464,6.417930800945429e-08,6.417930764289384e-08,6.568500830255456e-08,5.711505274993705e-09
3465,1.6258280927816902e-07,1.6258280390109966e-07,1.6776697167913608e-07,3.307280385033058e-08
3466,1.1347884628146352e-07,1.1347884492475253e-07,1.1729319284160988e-07,1.1955629028335589e-08
3467,4.766223652939604e-08,4.7662236177487346e-08,4.880306294950972e-08,7.383386045282066e-09
3468,4.5651053712241646e-08,4.565105464060956e-08,4.663164445662704e-08,2.0336176754555347e-08
3469,3.239895080782831e-08,3.239895061116798e-08,3.310239713291549e-08,6.0699596626290415e-09
3470,3.98005842931156e-08,3.980058429428794e-08,4.0759592781787996e-08,2.945534448554579e-11
3471,1.2871478373037166e-07,1.287147831532889e-07,1.3218258564975722e-07,4.483422464352071e-09
3472,1.7079512121481407e-07,1.7079511746575244e-07,1.765277595944772e-07,2.1950636568424785e-08
3473,3.059941651401634e-08,3.059941723997649e-08,3.129317221334497e-08,2.37246396947041e-08
3474,4.69639386140766e-08,4.696394069141534e-08,4.829502311353913e-08,4.4232632746532116e-08
3475,1.8427646557968727e-07,1.842764678646102e-07,1.9053965976662222e-07,1.2399428775832057e-08
3476,1.2938731375006913e-07,1.2938731789562223e-07,1.342331334674619e-07,3.203987195035003e-08
3477,4.94566276473228e-08,4.945662763776711e-08,5.049922093752926e-08,1.9321353178441703e-10
3478,6.614487145187664e-08,6.614487317308534e-08,6.807549476408002e-08,2.6021800513888026e-08
3479,1.313035509868235e-07,1.3130355249636066e-07,1.352893436354351e-07,1.1496544592598976e-08
3480,5.06642060156401e-08,5.0664206265683434e-08,5.1733974935564226e-08,4.935305423020989e-09
3481,1.2995121380084956e-07,1.2995121640835153e-07,1.3463852466489343e-07,2.0065237057877567e-08
3482,1.0692096529102624e-07,1.0692096451077604e-07,1.0996888928224165e-07,7.297448111521278e-09
3483,1.2145116904663885e-07,1.21451167446359e-07,1.2493025774603525e-07,1.3176323057091814e-08
3484,9.049121645038273e-08,9.049121968695003e-08,9.237905903310231e-08,3.576664466770809e-08
3485,4.055592506327651e-08,4.055592477241609e-08,4.138658062053113e-08,7.1718354307628024e-09
3486,5.601621069431946e-08,5.601621046982177e-08,5.721320943905205e-08,4.00772720908779e-09
3487,5.382856386579488e-08,5.3828562420899775e-08,5.5047667115526077e-08,2.6842534929452517e-08
3488,1.1616604702422039e-07,1.1616604583788358e-07,1.1853962890966916e-07,1.0212422993510644e-08
3489,1.4891223897552016e-07,1.4891223468847288e-07,1.5201156745498456e-07,2.8789086157456898e-08
3490,5.6425794203124694e-08,5.6425796680661336e-08,5.7761968763677707e-08,4.390787172026072e-08
3491,4.3339663695373615e-08,4.333966336868177e-08,4.442671648674739e-08,7.537941423708115e-09
3492,4.9610045772613695e-08,4.961004641443751e-08,5.0840119062780784e-08,1.2937375861855257e-08
3493,1.874806466912257e-07,1.8748064205994993e-07,1.9134357312104615e-07,2.470268722805906e-08
3494,8.776298651966214e-08,8.776298467647354e-08,8.962167532109184e-08,2.100189011678072e-08
3495,2.7031769972696573e-07,2.7031769285784717e-07,2.7443320637632645e-07,2.541127926866676e-08
3496,2.653221991160002e-07,2.6532220545454123e-07,2.730627719779917e-07,2.3889975690251175e-08
3497,2.7280814526384776e-07,2.728081367654188e-07,2.803224476744474e-07,3.1151668639937124e-08
3498,1.348533126346745e-07,1.34853307542021e-07,1.376094457545551e-07,3.776439311478068e-08
3499,3.362414768981844e-07,3.362414828311154e-07,3.4362810283324003e-07,1.7644851403029426e-08
3500,2.784374988469237e-07,2.7843749446373774e-07,2.819025230429284e-07,1.5742082102509535e-08
3501,3.055053981877859e-07,3.0550539818458846e-07,3.1016423189976664e-07,1.0466078556167426e-11
3502,2.759824796642451e-07,2.759824673335156e-07,2.834434341205086e-07,4.4679392422161325e-08
3503,2.0649236141320507e-07,2.064923591108054e-07,2.109018514005719e-07,1.1150047621681573e-08
3504,1.422655305120973e-07,1.4226553135727424e-07,1.4675009436555415e-07,5.940841264815432e-09
3505,6.41666807123431e-08,6.416668208777788e-08,6.563530032493401e-08,2.1435342137078283e-08
3506,4.1485787376153144e-08,4.148578897096708e-08,4.238812153396989e-08,3.844241546249601e-08
3507,4.064503889545976e-08,4.0645038125306914e-08,4.153910663982845e-08,1.8948262069832602e-08
3508,7.780741115797688e-08,7.780741101881713e-08,7.974474421047167e-08,1.7885154578130629e-09
3509,1.659635321971251e-07,1.6596352868727904e-07,1.7148056129269016e-07,2.1148296915343726e-08
3510,4.8341544803682976e-08,4.834154561120004e-08,4.9353377346465946e-08,1.670441142763605e-08
3511,8.138082957894033e-08,8.138082604414697e-08,8.306067293720443e-08,4.343520923006415e-08
3512,6.194987581217539e-08,6.19498760241307e-08,6.32762082097901e-08,3.4213999756859716e-09
3513,4.864139889282788e-08,4.8641399964644025e-08,4.9754143827346485e-08,2.2035059493060927e-08
3514,1.7836630432602421e-07,1.783662954369539e-07,1.8379718110109834e-07,4.9836040249094466e-08
3515,5.3052884152875955e-08,5.3052885444084794e-08,5.4198611754181235e-08,2.4338145384683854e-08
3516,5.957366656672069e-08,5.957366740798819e-08,6.087833991149963e-08,1.4121465657358554e-08
3517,1.3791813520495044e-07,1.3791813568030096e-07,1.4225915991611436e-07,3.446613602632783e-09
3518,7.464996309498458e-08,7.464996481445492e-08,7.621647819715962e-08,2.3033773012009736e-08
3519,5.446443870359103e-08,5.446443784195422e-08,5.5612779050118776e-08,1.5820172480629428e-08
3520,1.928608495061512e-07,1.9286084685430392e-07,1.990074899368738e-07,1.3750054999115193e-08
3521,1.6251808272584475e-07,1.6251808357659993e-07,1.689496474095077e-07,5.234833945112713e-09
3522,1.5495516494657577e-07,1.5495516931622557e-07,1.6093158745635699e-07,2.8199445153817467e-08
3523,1.8480095009432603e-07,1.848009494310992e-07,1.8869866842337224e-07,3.588871290063026e-09
3524,7.323830435829144e-08,7.323830634454673e-08,7.4865684605634e-08,2.7120442595777282e-08
3525,1.2782703436805534e-07,1.2782703498610005e-07,1.3110613330411052e-07,4.8350077931637815e-09
3526,4.0788341860825986e-08,4.0788342307575806e-08,4.178371979887509e-08,1.0952880025814393e-08
