node,x,y,phase_d,source
147,0.05999999865889549,-0.5,-0.00021670723799616098,U
148,0.10000000149011612,-0.5,-0.00026912815519608557,U
149,0.14000000059604645,-0.5,-0.0003246502310503274,U
150,0.18000000715255737,-0.5,-0.0003822402795776725,U
151,0.2199999988079071,-0.5,-0.0004408697714097798,U
152,0.25999999046325684,-0.5,-0.000499714573379606,U
153,0.30000001192092896,-0.5,-0.0005581268342211843,U
154,0.3400000035762787,-0.5,-0.00061586539959535,U
155,0.3799999952316284,-0.5,-0.0006729820743203163,U
156,0.41999998688697815,-0.5,-0.0007297046831808984,U
157,0.46000000834465027,-0.5,-0.0007865914958529174,U
158,0.5,-0.4615384638309479,-0.0008471079054288566,U
159,0.5,-0.42307692766189575,-0.0008547436445951462,U
160,0.5,-0.38461539149284363,-0.0008671674877405167,U
161,0.5,-0.3461538553237915,-0.000883854110725224,U
162,0.5,-0.3076923191547394,-0.0009040769073180854,U
163,0.5,-0.26923078298568726,-0.0009268302819691598,U
164,0.5,-0.23076923191547394,-0.0009508410003036261,U
165,0.5,-0.19230769574642181,-0.0009750336175784469,U
166,0.5,-0.1538461595773697,-0.0009975312277674675,U
167,0.5,-0.11538461595773697,-0.0010172025067731738,U
168,0.5,-0.07692307978868484,-0.0010324744507670403,U
169,0.5,-0.03846153989434242,-0.0010421447223052382,U
170,0.5,-0.014423076994717121,-0.0010449796682223678,U
171,0.5,-0.005408653989434242,-0.001045443001203239,U
172,0.5,0.005408653989434242,-0.0010454445146024227,U
173,0.5,0.014423076994717121,-0.001045099925249815,U
174,0.5,0.03846153989434242,-0.0010427006054669619,U
175,0.5,0.07692307978868484,-0.0010327330091968179,U
176,0.5,0.11538461595773697,-0.001017927541397512,U
177,0.5,0.1538461595773697,-0.000998420175164938,U
178,0.5,0.19230769574642181,-0.0009760368266142905,U
179,0.5,0.23076923191547394,-0.0009522916516289115,U
180,0.5,0.26923078298568726,-0.0009282192913815379,U
181,0.5,0.3076923191547394,-0.0009054808178916574,U
182,0.5,0.3461538553237915,-0.0008852531900629401,U
183,0.5,0.38461539149284363,-0.0008685120847076178,U
184,0.5,0.42307692766189575,-0.0008560922578908503,U
185,0.5,0.4615384638309479,-0.0008485305588692427,U
186,0.46000000834465027,0.5,-0.0007877481402829289,U
187,0.41999998688697815,0.5,-0.0007308935164473951,U
188,0.3799999952316284,0.5,-0.0006745631108060479,U
189,0.3400000035762787,0.5,-0.0006176373572088778,U
190,0.30000001192092896,0.5,-0.0005598168354481459,U
191,0.25999999046325684,0.5,-0.0005012584733776748,U
192,0.2199999988079071,0.5,-0.00044230767525732517,U
193,0.18000000715255737,0.5,-0.0003835091774817556,U
194,0.14000000059604645,0.5,-0.00032550585456192493,U
195,0.10000000149011612,0.5,-0.00026987824821844697,U
196,0.05999999865889549,0.5,-0.00021713378373533487,U
197,0.019999999552965164,0.5,-0.00016899452020879835,U
198,-0.019999999552965164,0.5,-0.00012582680210471153,U
199,-0.05999999865889549,0.5,-8.830297883832827e-05,U
200,-0.10000000149011612,0.5,-5.6595989008201286e-05,U
201,-0.14000000059604645,0.5,-3.169372575939633e-05,U
202,-0.18000000715255737,0.5,-1.1846725101349875e-05,U
203,-0.2199999988079071,0.5,2.0406093881319975e-06,U
204,-0.25999999046325684,0.5,1.1507259841891937e-05,U
205,-0.30000001192092896,0.5,1.711959339445457e-05,U
206,-0.3400000035762787,0.5,1.932922714331653e-05,U
207,-0.3799999952316284,0.5,1.862075259850826e-05,U
208,-0.41999998688697815,0.5,1.5163179341470823e-05,U
209,-0.46000000834465027,0.5,9.015566320158541e-06,U
210,-0.5,0.4583374857902527,-5.18684828421101e-06,U
211,-0.5,0.41667500138282776,-1.847235944296699e-05,U
212,-0.5,0.37501248717308044,-4.144213380641304e-05,U
213,-0.5,0.3333500027656555,-7.213876233436167e-05,U
214,-0.5,0.2916874885559082,-0.00011183047899976373,U
215,-0.5,0.2500250041484833,-0.0001591395994182676,U
216,-0.5,0.20836250483989716,-0.00021273775200825185,U
217,-0.5,0.16670000553131104,-0.00027150686946697533,U
218,-0.5,0.12503750622272491,-0.0003331961634103209,U
219,-0.5,0.0833749994635582,-0.000395341485273093,U
220,-0.5,0.041712500154972076,-0.00045579366269521415,U
221,-0.4615384638309479,4.615384750650264e-05,-0.0005139787681400776,U
222,-0.42307692766189575,4.230769263813272e-05,-0.0005149500793777406,U
223,-0.38461539149284363,3.84615377697628e-05,-0.0005186531925573945,U
224,-0.3461538553237915,3.461538290139288e-05,-0.0005265213549137115,U
225,-0.3076923191547394,3.076923167100176e-05,-0.0005391998565755785,U
226,-0.26923078298568726,2.692307680263184e-05,-0.0005572147783823311,U
227,-0.23076923191547394,2.307692375325132e-05,-0.0005812018644064665,U
228,-0.19230769574642181,1.92307688848814e-05,-0.0006115766591392457,U
229,-0.1538461595773697,1.538461583550088e-05,-0.0006484654149971902,U
230,-0.11538461595773697,1.153846187662566e-05,-0.0006914603291079402,U
231,-0.07692307978868484,7.69230791775044e-06,-0.0007373501430265605,U
232,-0.03846153989434242,3.84615395887522e-06,-0.000799595145508647,U
233,-0.014423076994717121,1.4423077345782076e-06,-0.0008377802441827953,U
234,-0.005408653989434242,5.408653578342637e-07,-0.0008414919720962644,U
235,-0.3945236802101135,-0.10447921603918076,-0.0003594151639845222,U
236,-0.3152671158313751,-0.07932271808385849,-0.00040665268898010254,U
237,-0.2671581208705902,-0.09487958252429962,-0.0003836770774796605,U
238,-0.199462890625,-0.07247474044561386,-0.00043830907088704407,U
239,-0.1401892453432083,-0.07036156207323074,-0.00045018093078397214,U
240,-0.08561252802610397,-0.059969305992126465,-0.00048067449824884534,U
241,-0.01971324533224106,-0.05389704182744026,-0.0005038522067479789,U
242,0.029588142409920692,-0.05732319504022598,-0.0005728292744606733,U
243,0.0867304801940918,-0.059772931039333344,-0.0006408753688447177,U
244,0.14640815556049347,-0.057831767946481705,-0.0006895914557389915,U
245,0.2031911164522171,-0.058260995894670486,-0.0007318984135054052,U
246,0.259807288646698,-0.058547280728816986,-0.0007801917963661253,U
247,0.3199489414691925,-0.05344799533486366,-0.0008403985411860049,U
248,0.3882485628128052,-0.0527876578271389,-0.0009134984575212002,U
249,-0.4362236559391022,-0.13272802531719208,-0.00031589713762514293,U
250,-0.4066818356513977,-0.14126092195510864,-0.0003012963861692697,U
251,-0.3189693093299866,-0.12659069895744324,-0.0003243233950342983,U
252,-0.2544387876987457,-0.12835021317005157,-0.0003215082106180489,U
253,-0.19654983282089233,-0.1068759337067604,-0.0003633967135101557,U
254,-0.09845200926065445,-0.12807691097259521,-0.0003196738543920219,U
255,-0.03193739429116249,-0.11318854987621307,-0.0003694113402161747,U
256,0.037924740463495255,-0.12116771936416626,-0.0004495015600696206,U
257,0.0920490249991417,-0.11906025558710098,-0.0005390836158767343,U
258,0.14883828163146973,-0.11159026622772217,-0.0006245826371014118,U
259,0.20175804197788239,-0.12485628575086594,-0.0006690481677651405,U
260,0.26617732644081116,-0.11004564166069031,-0.000753119180444628,U
261,0.324583500623703,-0.11306953430175781,-0.0008151052752509713,U
262,0.3693872392177582,-0.11324390769004822,-0.0008659546147100627,U
263,0.44145017862319946,-0.1323731541633606,-0.0009399845148436725,U
264,-0.4387320578098297,-0.17196674644947052,-0.0002562318986747414,U
265,-0.39858829975128174,-0.19167396426200867,-0.0002237506996607408,U
266,-0.24258042871952057,-0.1595640629529953,-0.000266095477854833,U
267,-0.18976394832134247,-0.16706259548664093,-0.0002513256040401757,U
268,-0.14660492539405823,-0.15971584618091583,-0.00026363242068327963,U
269,-0.09571430832147598,-0.1700858175754547,-0.00025489673134870827,U
270,-0.03668298199772835,-0.1719827502965927,-0.0002848200383596122,U
271,0.024512136355042458,-0.17804454267024994,-0.00034823911846615374,U
272,0.08722979575395584,-0.1669762134552002,-0.00045836842036806047,U
273,0.1284940093755722,-0.1623232513666153,-0.0005273607093840837,U
274,0.19677847623825073,-0.16138172149658203,-0.0006222085794433951,U
275,0.26341572403907776,-0.17498129606246948,-0.0006932081305421889,U
276,0.32457488775253296,-0.16507300734519958,-0.0007774554542265832,U
277,0.3812022805213928,-0.17017029225826263,-0.0008431238238699734,U
278,0.4379846155643463,-0.16811969876289368,-0.0009141391492448747,U
279,-0.4296114146709442,-0.2169443815946579,-0.00019034692377317697,U
280,-0.3720536231994629,-0.21597041189670563,-0.00018661186913959682,U
281,-0.32343152165412903,-0.19976024329662323,-0.00020673834660556167,U
282,-0.24002863466739655,-0.20962408185005188,-0.00018809858011081815,U
283,-0.2014017254114151,-0.23551073670387268,-0.0001541643141536042,U
284,-0.1479513794183731,-0.23132289946079254,-0.00016574961773585528,U
