frame_tag,actual_top_u2_mm,node,x,y,multiplier,d,d_lb,first_violating_frame,union_group_id
F4_segment_end,0.0030999999999999973,3154,0.4375,-0.025000000000000022,-1.731288876122468e-8,0.00918262871028401,0.00918262871028401,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3155,0.44999999999999996,-0.025000000000000022,-1.3864035571080484e-8,0.009043696096651937,0.009043696096651937,F4_segment_inc_008,1
F4_segment_end,0.0030999999999999973,3156,0.4625,-0.025000000000000022,-1.6716199451518466e-8,0.00883209167043561,0.00883209167043561,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3157,0.475,-0.025000000000000022,-1.3605131664956168e-8,0.00864900583059787,0.008649005830597868,F4_segment_inc_008,1
F4_segment_end,0.0030999999999999973,3158,0.48750000000000004,-0.025000000000000022,-1.5722637466785744e-8,0.008448388784274816,0.008448388784274816,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3204,0.050000000000000044,-0.012500000000000011,-7.545774127781365e-8,0.024625572951062016,0.02462557295106202,F4_segment_initial,24
F4_segment_end,0.0030999999999999973,3206,0.07499999999999996,-0.012500000000000011,-4.157543907824483e-8,0.016898937077133545,0.016898937077133545,F4_segment_inc_003,1
F4_segment_end,0.0030999999999999973,3207,0.08750000000000002,-0.012500000000000011,-3.3145514417653135e-8,0.014839748160222549,0.014839748160222549,F4_segment_inc_003,1
F4_segment_end,0.0030999999999999973,3208,0.09999999999999998,-0.012500000000000011,-2.4993069719850344e-8,0.013434134434687724,0.013434134434687724,F4_segment_inc_004,1
F4_segment_end,0.0030999999999999973,3209,0.11250000000000004,-0.012500000000000011,-2.2363048153809366e-8,0.012445548742509391,0.012445548742509391,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3210,0.125,-0.012500000000000011,-2.206249719959943e-8,0.011726141879041583,0.011726141879041583,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3211,0.13749999999999996,-0.012500000000000011,-2.06503902598308e-8,0.011197486849766784,0.011197486849766786,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3212,0.15000000000000002,-0.012500000000000011,-2.0377994155976145e-8,0.010801762572459869,0.010801762572459867,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3213,0.16249999999999998,-0.012500000000000011,-1.963258500451874e-8,0.01050471867048774,0.010504718670487741,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3214,0.17500000000000004,-0.012500000000000011,-1.942975581783087e-8,0.0102816858521498,0.0102816858521498,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3215,0.1875,-0.012500000000000011,-1.914137206703281e-8,0.010113801887258942,0.010113801887258939,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3216,0.19999999999999996,-0.012500000000000011,-1.8962194509800673e-8,0.009990855110003263,0.009990855110003263,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3217,0.21250000000000002,-0.012500000000000011,-1.8867989598099302e-8,0.009900630269336965,0.009900630269336963,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3218,0.22499999999999998,-0.012500000000000011,-1.86996315440182e-8,0.009837982336175666,0.00983798233617567,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3219,0.23750000000000004,-0.012500000000000011,-1.8653724148698256e-8,0.00979509766270121,0.009795097662701212,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3220,0.25,-0.012500000000000011,-1.857726340804634e-8,0.009767740219549667,0.009767740219549667,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3221,0.26249999999999996,-0.012500000000000011,-1.8564507502641388e-8,0.009752036343710295,0.009752036343710295,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3222,0.275,-0.012500000000000011,-1.8550507842452408e-8,0.009743641930166868,0.009743641930166868,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3223,0.2875,-0.012500000000000011,-1.8524627164550694e-8,0.009740679262213475,0.009740679262213474,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3224,0.30000000000000004,-0.012500000000000011,-1.852339622561847e-8,0.00973891769279457,0.009738917692794568,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3225,0.3125,-0.012500000000000011,-1.8489721638678773e-8,0.009737187201175314,0.009737187201175314,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3226,0.32499999999999996,-0.012500000000000011,-1.8436211203563105e-8,0.00973199235503526,0.00973199235503526,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3227,0.3375,-0.012500000000000011,-1.8403668291738023e-8,0.009721723017207879,0.009721723017207879,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3228,0.35,-0.012500000000000011,-1.8293534782946218e-8,0.00970339489437505,0.00970339489437505,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3229,0.36250000000000004,-0.012500000000000011,-1.825116336507319e-8,0.009674714938805529,0.009674714938805527,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3230,0.375,-0.012500000000000011,-1.8088766527796813e-8,0.009633690622557773,0.009633690622557773,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3231,0.38749999999999996,-0.012500000000000011,-1.800331378932457e-8,0.009577404165737173,0.009577404165737172,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3232,0.4,-0.012500000000000011,-1.7949919664724242e-8,0.009502512100779188,0.009502512100779188,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3233,0.4125,-0.012500000000000011,-1.7632759464224066e-8,0.009410240300047695,0.009410240300047695,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3234,0.42500000000000004,-0.012500000000000011,-1.7651288769618758e-8,0.009291820603494802,0.009291820603494802,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3235,0.4375,-0.012500000000000011,-1.7100228055918304e-8,0.009155642812389165,0.009155642812389165,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3236,0.44999999999999996,-0.012500000000000011,-1.68801741644925e-8,0.008987120267102558,0.008987120267102558,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3237,0.4625,-0.012500000000000011,-1.667321122973265e-8,0.00879705882120715,0.008797058821207149,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3238,0.475,-0.012500000000000011,-1.6684139201284827e-8,0.008587365462008067,0.008587365462008067,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3239,0.48750000000000004,-0.012500000000000011,-1.6113750760034432e-8,0.008403948690610336,0.008403948690610336,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3324,0.03749999999999998,0,-1.7300158861130168e-7,0.03189682502579989,0.03189682502579989,F4_segment_initial,25
F4_segment_end,0.0030999999999999973,3326,0.0625,0,-3.8985173357435165e-8,0.019782965619351233,0.019782965619351237,F4_segment_inc_004,1
F4_segment_end,0.0030999999999999973,3328,0.08750000000000002,0,-1.8548570240828743e-8,0.014757188811869557,0.014757188811869557,F4_segment_inc_008,1
F4_segment_end,0.0030999999999999973,3329,0.09999999999999998,0,-2.4152729721279062e-8,0.01330515021051417,0.01330515021051417,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3330,0.11250000000000004,0,-1.5336940119849174e-8,0.012386778173494404,0.012386778173494404,F4_segment_inc_008,1
F4_segment_end,0.0030999999999999973,3331,0.125,0,-2.1698459267750778e-8,0.011631850159996982,0.011631850159996982,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3332,0.13749999999999996,0,-1.5940834902364505e-8,0.011150303354555639,0.011150303354555635,F4_segment_inc_008,1
F4_segment_end,0.0030999999999999973,3333,0.15000000000000002,0,-2.0254584732906366e-8,0.010731185217804418,0.01073118521780442,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3334,0.16249999999999998,0,-1.649204694160319e-8,0.010466820107625079,0.010466820107625077,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3335,0.17500000000000004,0,-1.947310387814318e-8,0.010227879062216273,0.010227879062216273,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3336,0.1875,0,-1.693930561149713e-8,0.010083816392174878,0.010083816392174882,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3337,0.19999999999999996,0,-1.9027790589160605e-8,0.00994986327745313,0.00994986327745313,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3338,0.21250000000000002,0,-1.736744499283876e-8,0.00987587645318394,0.00987587645318394,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3339,0.22499999999999998,0,-1.875264468748941e-8,0.00980561206023594,0.00980561206023594,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3340,0.23750000000000004,0,-1.8469674901184837e-8,0.009767358628015373,0.009767358628015373,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3341,0.25,0,-1.846678808832444e-8,0.009742974106438103,0.009742974106438105,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3342,0.26249999999999996,0,-1.843218212184168e-8,0.009729729794892625,0.009729729794892623,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3343,0.275,0,-1.844963324144505e-8,0.009723642301538724,0.009723642301538724,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3344,0.2875,0,-1.8467457503942536e-8,0.00972189364189747,0.009721893641897473,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3345,0.30000000000000004,0,-1.846567190561814e-8,0.009722009997025879,0.009722009997025879,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3346,0.3125,0,-1.8510949098833048e-8,0.009720879053566455,0.009720879053566455,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3347,0.32499999999999996,0,-1.8420829888423866e-8,0.009717527745235804,0.009717527745235804,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3348,0.3375,0,-1.8403710250563216e-8,0.009707976517248296,0.009707976517248296,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3349,0.35,0,-1.8228709407648e-8,0.009691484383915365,0.009691484383915365,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3350,0.36250000000000004,0,-1.82297251213951e-8,0.009663319869822787,0.009663319869822787,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3351,0.375,0,-1.780448692600181e-8,0.009625288545107977,0.009625288545107977,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3352,0.38749999999999996,0,-1.7952382360888165e-8,0.009567818219843413,0.009567818219843413,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3353,0.4,0,-1.7094188245946076e-8,0.009499665029715037,0.009499665029715037,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3354,0.4125,0,-1.761039848156065e-8,0.009401306595327667,0.009401306595327667,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3355,0.42500000000000004,0,-1.5901300723795087e-8,0.00929593830810008,0.00929593830810008,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3356,0.4375,0,-1.707865586645222e-8,0.009143159848845776,0.009143159848845776,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3357,0.44999999999999996,0,-1.6790163300285875e-8,0.008974544845852674,0.008974544845852674,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3358,0.4625,0,-1.6561651433153317e-8,0.00878149342478496,0.00878149342478496,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3359,0.475,0,-1.6242935224545732e-8,0.008575668925778643,0.008575668925778643,F4_segment_inc_007,1
