node,x,y,d_lower_bound_F3
266,-0.22499999999999998,-0.4625,0.0006371031870037689
267,-0.21250000000000002,-0.4625,0.0008010118584819595
268,-0.2,-0.4625,0.0009753518612232079
269,-0.1875,-0.4625,0.001093049013607153
270,-0.175,-0.4625,0.0013135514828611508
271,-0.16249999999999998,-0.4625,0.0016187947829847025
272,-0.15000000000000002,-0.4625,0.0017426708739895153
273,-0.1375,-0.4625,0.001993597487997432
274,-0.125,-0.4625,0.0022768792328315725
275,-0.11249999999999999,-0.4625,0.0025376681517654738
276,-0.09999999999999998,-0.4625,0.0028397914899998774
277,-0.08750000000000002,-0.4625,0.0032124690077562114
278,-0.07500000000000001,-0.4625,0.003543239850238856
