element,integration_point,H_F3
190,4,0.00018195199624298453
191,1,0.00021220266754988677
191,2,0.0002184403785861959
191,3,0.00021869044101555376
191,4,0.00020649187655597022
192,1,0.00022882420604369846
192,2,0.0002445154488789872
192,3,0.00024490380839912014
192,4,0.00022919982533258193
193,1,0.00025734798897498844
193,2,0.0002840138144101958
193,3,0.00027889750243910156
193,4,0.0002577356956739464
194,1,0.00029796673365870387
194,2,0.0003052324968167225
194,3,0.00031009746341365875
194,4,0.000290775647226738
195,1,0.00031957536750215246
195,2,0.0003379105653217851
195,3,0.0003383197913430717
195,4,0.0003199773346881132
196,1,0.0003531029464260245
196,2,0.0003763475948053301
196,3,0.0003725722553271982
196,4,0.00035350375490739497
197,1,0.00039609969890856694
197,2,0.0004160406240372673
197,3,0.0004214425732727981
197,4,0.00038838555221572854
198,1,0.00042400732039219434
198,2,0.0004441845166924267
198,3,0.00044457396226985264
198,4,0.0004243959932996588
199,1,0.0004609966808593977
199,2,0.00048156172894700034
199,3,0.00048193390597696596
199,4,0.00046136961019789936
200,1,0.0005031977623409833
200,2,0.0005348755175239899
200,3,0.0005410227532846111
200,4,0.0005410255223202267
201,1,0.0005368156939717046
201,2,0.0005577018580721889
201,3,0.0005580315992214503
201,4,0.0005416633678154172
202,1,0.0005750719392867748
202,2,0.0005959537910614311
202,3,0.0005962571897544784
202,4,0.0005753806128286534
203,1,0.0006132711458633359
203,2,0.0006524868547050529
203,3,0.0006579818799263167
203,4,0.0006576140944314297
204,1,0.0006518994911169603
204,2,0.000671447384063369
204,3,0.0006716931306926956
204,4,0.0006586017551895008
205,1,0.0006882002535396109
205,2,0.00070814858970629
205,3,0.000708363794566707
205,4,0.0006884228364089522
206,1,0.0007244716431034292
206,2,0.0007634665206051231
206,3,0.0007672310614967055
206,4,0.0007669786701714068
207,1,0.0007628574704862313
207,2,0.0007782506148806632
207,3,0.0007784033858415049
207,4,0.0007675559299123462
208,1,0.0007933176211012569
208,2,0.0008112499653987667
208,3,0.0008113738046475027
208,4,0.0007934484693224251
209,1,0.0008256262418837317
209,2,0.0008624651942445437
209,3,0.0008655064158048795
209,4,0.0008257278978217971
210,1,0.0008617394587190307
210,2,0.0008724004152639497
210,3,0.0008724700855706754
210,4,0.000865491574599249
211,1,0.000885055281276694
211,2,0.0009002365813803708
211,3,0.0009002824079371558
211,4,0.0008851063849342823
212,1,0.0009120460918935526
212,2,0.0009262799612222268
212,3,0.0009448721506117612
212,4,0.0009120768907171184
213,1,0.0009421145320985775
213,2,0.0009503266063994525
213,3,0.0009503343599633282
213,4,0.000944797654073224
214,1,0.0009603111012988142
214,2,0.0009725078037076651
214,3,0.0009724966070876298
214,4,0.0009603030738458447
215,1,0.0009816499966736093
215,2,0.0009929114868427436
215,3,0.0010086687481671887
215,4,0.000981630606572165
216,1,0.001006455409829847
216,2,0.0010113818820975014
216,3,0.0010113498432924336
216,4,0.0010087090625269
217,1,0.0010188055073473603
217,2,0.0010281302372906035
217,3,0.0010280869470449185
217,4,0.0010187637527560272
218,1,0.001034825782165627
218,2,0.001043348162301457
218,3,0.0010540491154029876
218,4,0.0010347788416749596
219,1,0.0010530989928176648
219,2,0.0010569754080029482
219,3,0.0010569234673701608
219,4,0.0010540699945042694
220,1,0.0010623061336447063
220,2,0.001069279086033568
220,3,0.0010692219859963267
220,4,0.0010622495281852338
221,1,0.0010740903374615804
221,2,0.0010804897638677221
221,3,0.0010877095107599986
221,4,0.001074032913340373
222,1,0.001084811835999239
222,2,0.001090587814980036
222,3,0.0010905300484380157
222,4,0.0010877001147908691
223,1,0.0010944937432403623
223,2,0.0010998500773791615
223,3,0.0010997902906660962
223,4,0.0010944339161466246
224,1,0.0011034761382378144
224,2,0.0011085395508483498
224,3,0.0011084793614285354
224,4,0.0011034158004446612
225,1,0.0011119756914115151
225,2,0.0011168311583713167
225,3,0.001116770788935529
225,4,0.0011152822090277736
226,1,0.001120145099225678
226,2,0.0011248688325060517
226,3,0.0011248084725447973
226,4,0.0011200844134735448
227,1,0.00112815402264204
227,2,0.0011329004327745712
227,3,0.0011328393372851933
227,4,0.0011280925161306053
228,1,0.0011362628340923768
228,2,0.0011411491983341873
228,3,0.0011420886140314592
228,4,0.001136200346690734
229,1,0.0011446740867470792
229,2,0.0011498088006659725
229,3,0.0011497455279086185
229,4,0.0011446102112044594
230,1,0.0011536029127896554
230,2,0.0011591561478055733
230,3,0.0011590904783359553
230,4,0.0011535364726564413
231,1,0.0011633367210582442
231,2,0.0011694647138486575
231,3,0.0011693968949213994
231,4,0.0011632679720769228
232,1,0.0011741022574461063
232,2,0.001180840429556597
232,3,0.0011807715152496105
232,4,0.001176641019091445
233,1,0.0011860471439451533
233,2,0.001193672506090733
233,3,0.0011936016488135008
