node,x,y,d_F3,d_D3D_A1,d_update
4310,0.21250000000000002,0.15000000000000002,0.012162919326557352,0.012162919326557352,0.0
4311,0.22499999999999998,0.15000000000000002,0.011985788625456965,0.011985788625456965,0.0
4312,0.23750000000000004,0.15000000000000002,0.011834729287448387,0.011834729287448387,0.0
4313,0.25,0.15000000000000002,0.011693943825939449,0.011693943825939449,0.0
4314,0.26249999999999996,0.15000000000000002,0.01156533680822533,0.01156533680822533,0.0
4315,0.275,0.15000000000000002,0.011431886909922688,0.011431886909922688,0.0
4316,0.2875,0.15000000000000002,0.01132288069210546,0.01132288069210546,0.0
4317,0.30000000000000004,0.15000000000000002,0.011228377253636481,0.011228377253636481,0.0
4318,0.3125,0.15000000000000002,0.011133779909002401,0.011133779909002401,0.0
4319,0.32499999999999996,0.15000000000000002,0.011048650555920095,0.011048650555920095,0.0
4320,0.3375,0.15000000000000002,0.011002886178656843,0.011002886178656843,0.0
4321,0.35,0.15000000000000002,0.010891586556160729,0.010891586556160729,0.0
4322,0.36250000000000004,0.15000000000000002,0.010805653897004074,0.010805653897004074,0.0
4323,0.375,0.15000000000000002,0.010722040939781192,0.010722040939781192,0.0
4324,0.38749999999999996,0.15000000000000002,0.010634515680054867,0.010634515680054867,0.0
4325,0.4,0.15000000000000002,0.010548461087079963,0.010548461087079963,0.0
4326,0.4125,0.15000000000000002,0.010454215519567645,0.010454215519567645,0.0
4327,0.42500000000000004,0.15000000000000002,0.010349546696267982,0.010349546696267982,0.0
4328,0.4375,0.15000000000000002,0.01026140348689852,0.01026140348689852,0.0
4329,0.44999999999999996,0.15000000000000002,0.010236922661518195,0.010236922661518195,0.0
4330,0.4625,0.15000000000000002,0.010028975309563667,0.010028975309563667,0.0
4331,0.475,0.15000000000000002,0.009884641950795676,0.009884641950795676,0.0
4332,0.48750000000000004,0.15000000000000002,0.00978463132330612,0.00978463132330612,0.0
4333,0.5,0.15000000000000002,0.00975592614066452,0.00975592614066452,0.0
4334,-0.5,0.16249999999999998,8.020497474421328e-05,8.020497474421328e-05,0.0
