node,x,y,active_F3,initial_active_A1,initial_release_seed
573,-0.4375,-0.4125,True,True,False
574,-0.425,-0.4125,True,True,False
575,-0.4125,-0.4125,True,True,False
576,-0.4,-0.4125,True,True,False
577,-0.3875,-0.4125,True,True,False
578,-0.375,-0.4125,True,True,False
579,-0.3625,-0.4125,True,True,False
580,-0.35,-0.4125,True,True,False
581,-0.3375,-0.4125,True,True,False
582,-0.325,-0.4125,True,True,False
583,-0.3125,-0.4125,True,True,False
584,-0.3,-0.4125,True,True,False
585,-0.2875,-0.4125,True,True,False
586,-0.275,-0.4125,True,True,False
587,-0.2625,-0.4125,True,True,False
588,-0.25,-0.4125,True,True,False
589,-0.2375,-0.4125,True,True,False
590,-0.22499999999999998,-0.4125,True,True,False
591,-0.21250000000000002,-0.4125,True,True,False
592,-0.2,-0.4125,True,True,False
593,-0.1875,-0.4125,True,True,False
594,-0.175,-0.4125,True,True,False
595,-0.16249999999999998,-0.4125,True,True,False
596,-0.15000000000000002,-0.4125,True,True,False
597,-0.1375,-0.4125,True,True,False
598,-0.125,-0.4125,True,True,False
599,-0.11249999999999999,-0.4125,True,True,False
600,-0.09999999999999998,-0.4125,True,True,False
601,-0.08750000000000002,-0.4125,True,True,False
602,-0.07500000000000001,-0.4125,True,True,False
603,-0.0625,-0.4125,True,True,False
604,-0.04999999999999999,-0.4125,True,True,False
605,-0.03749999999999998,-0.4125,True,True,False
606,-0.025000000000000022,-0.4125,True,True,False
607,-0.012500000000000011,-0.4125,True,True,False
608,0.0,-0.4125,True,True,False
609,0.012499999999999956,-0.4125,True,True,False
610,0.025000000000000022,-0.4125,True,True,False
611,0.03749999999999998,-0.4125,True,True,False
612,0.050000000000000044,-0.4125,True,True,False
613,0.0625,-0.4125,True,True,False
614,0.07499999999999996,-0.4125,True,True,False
615,0.08750000000000002,-0.4125,True,True,False
616,0.09999999999999998,-0.4125,True,True,False
617,0.11250000000000004,-0.4125,True,True,False
618,0.125,-0.4125,True,True,False
619,0.13749999999999996,-0.4125,True,True,False
620,0.15000000000000002,-0.4125,True,True,False
621,0.16249999999999998,-0.4125,True,True,False
622,0.17500000000000004,-0.4125,True,True,False
623,0.1875,-0.4125,True,True,False
624,0.19999999999999996,-0.4125,True,True,False
625,0.21250000000000002,-0.4125,True,True,False
626,0.22499999999999998,-0.4125,True,True,False
627,0.23750000000000004,-0.4125,True,True,False
628,0.25,-0.4125,True,True,False
629,0.26249999999999996,-0.4125,True,True,False
630,0.275,-0.4125,True,True,False
631,0.2875,-0.4125,True,True,False
632,0.30000000000000004,-0.4125,True,True,False
633,0.3125,-0.4125,True,True,False
634,0.32499999999999996,-0.4125,True,True,False
635,0.3375,-0.4125,True,True,False
636,0.35,-0.4125,True,True,False
637,0.36250000000000004,-0.4125,True,True,False
638,0.375,-0.4125,True,True,False
639,0.38749999999999996,-0.4125,True,True,False
640,0.4,-0.4125,True,True,False
641,0.4125,-0.4125,True,True,False
642,0.42500000000000004,-0.4125,True,True,False
643,0.4375,-0.4125,True,True,False
644,0.44999999999999996,-0.4125,True,True,False
645,0.4625,-0.4125,True,True,False
646,0.475,-0.4125,True,True,False
647,0.48750000000000004,-0.4125,True,True,False
648,0.5,-0.4125,True,True,False
649,-0.5,-0.4,True,True,False
650,-0.4875,-0.4,True,True,False
651,-0.475,-0.4,True,True,False
652,-0.4625,-0.4,True,True,False
653,-0.45,-0.4,True,True,False
654,-0.4375,-0.4,True,True,False
655,-0.425,-0.4,True,True,False
656,-0.4125,-0.4,False,False,False
657,-0.4,-0.4,True,True,False
658,-0.3875,-0.4,True,True,False
659,-0.375,-0.4,True,True,False
660,-0.3625,-0.4,True,True,False
661,-0.35,-0.4,True,True,False
662,-0.3375,-0.4,True,True,False
663,-0.325,-0.4,True,True,False
664,-0.3125,-0.4,True,True,False
665,-0.3,-0.4,True,True,False
666,-0.2875,-0.4,True,True,False
667,-0.275,-0.4,True,True,False
668,-0.2625,-0.4,True,True,False
669,-0.25,-0.4,True,True,False
670,-0.2375,-0.4,True,True,False
671,-0.22499999999999998,-0.4,True,True,False
672,-0.21250000000000002,-0.4,True,True,False
673,-0.2,-0.4,True,True,False
674,-0.1875,-0.4,True,True,False
675,-0.175,-0.4,True,True,False
676,-0.16249999999999998,-0.4,True,True,False
677,-0.15000000000000002,-0.4,True,True,False
678,-0.1375,-0.4,True,True,False
