node,x,y,d_lower_bound
326,-0.4875,-0.45,0.00033251462271029615
327,-0.475,-0.45,0.00033252097435091174
328,-0.4625,-0.45,0.0003325082996728898
329,-0.45,-0.45,0.00023487313249444044
330,-0.4375,-0.45,0.00012733538026446793
331,-0.425,-0.45,0.00011627022888271253
332,-0.4125,-0.45,8.342562629715417e-05
333,-0.4,-0.45,6.083752341494575e-05
334,-0.3875,-0.45,3.162677202913943e-05
335,-0.375,-0.45,2.9649818694373024e-05
336,-0.3625,-0.45,2.6272357447360663e-05
337,-0.35,-0.45,2.3374736266799132e-05
338,-0.3375,-0.45,3.1568402498650085e-05
339,-0.325,-0.45,6.481925129600361e-05
340,-0.3125,-0.45,8.736789372013856e-05
341,-0.3,-0.45,0.00010864171579406182
342,-0.2875,-0.45,0.00018245288900721842
343,-0.275,-0.45,0.000243503036417448
344,-0.2625,-0.45,0.0002433446300716703
345,-0.25,-0.45,0.00038754109760347655
346,-0.2375,-0.45,0.000535755369913995
347,-0.22499999999999998,-0.45,0.0005362778802616553
348,-0.21250000000000002,-0.45,0.0007354708204366495
349,-0.2,-0.45,0.0009967127128826427
350,-0.1875,-0.45,0.001000560328671066
351,-0.175,-0.45,0.0012241519664212069
352,-0.16249999999999998,-0.45,0.0016438340621735376
353,-0.15000000000000002,-0.45,0.0016505514793967026
354,-0.1375,-0.45,0.0016480816111139147
355,-0.125,-0.45,0.0021593486898919836
356,-0.11249999999999999,-0.45,0.00253731713150933
357,-0.09999999999999998,-0.45,0.0025414092479861144
358,-0.08750000000000002,-0.45,0.003147791610596904
359,-0.07500000000000001,-0.45,0.0036390997955152225
360,-0.0625,-0.45,0.003656717322497203
361,-0.04999999999999999,-0.45,0.004328361765662868
362,-0.03749999999999998,-0.45,0.004884091628277609
363,-0.025000000000000022,-0.45,0.00490682431512583
364,-0.012500000000000011,-0.45,0.005421926334025464
365,0.0,-0.45,0.006025873287489325
366,0.012499999999999956,-0.45,0.006159915873929067
367,0.025000000000000022,-0.45,0.006587597887240845
368,0.03749999999999998,-0.45,0.007254157617145334
369,0.050000000000000044,-0.45,0.007371713602466641
370,0.0625,-0.45,0.0077711298478510445
371,0.07499999999999996,-0.45,0.00840749283153072
372,0.08750000000000002,-0.45,0.008516928149508864
373,0.09999999999999998,-0.45,0.008855168978964637
374,0.11250000000000004,-0.45,0.009435967176092828
375,0.125,-0.45,0.009569196204148008
376,0.13749999999999996,-0.45,0.009802693313353381
377,0.15000000000000002,-0.45,0.010291850405120515
378,0.16249999999999998,-0.45,0.010456093484829104
379,0.17500000000000004,-0.45,0.010589382594439303
380,0.1875,-0.45,0.010961183693091257
381,0.19999999999999996,-0.45,0.011112298371287077
382,0.21250000000000002,-0.45,0.011183975393644357
383,0.22499999999999998,-0.45,0.011458505309567064
384,0.23750000000000004,-0.45,0.01158590661893067
385,0.25,-0.45,0.01163112692513472
386,0.26249999999999996,-0.45,0.011828774649264465
387,0.275,-0.45,0.011939760463618741
388,0.2875,-0.45,0.011966062299800066
389,0.30000000000000004,-0.45,0.012100499782151053
390,0.3125,-0.45,0.012231843824773027
391,0.32499999999999996,-0.45,0.012231876290388775
392,0.3375,-0.45,0.012345038151425772
393,0.35,-0.45,0.01252962973224725
394,0.36250000000000004,-0.45,0.012527978562665017
395,0.375,-0.45,0.012615815177932454
396,0.38749999999999996,-0.45,0.012790885669650507
397,0.4,-0.45,0.01289481470131081
398,0.4125,-0.45,0.01295999263759405
399,0.42500000000000004,-0.45,0.013203133252256844
400,0.4375,-0.45,0.013412842988207949
401,0.44999999999999996,-0.45,0.01346032440527251
402,0.4625,-0.45,0.013714807351499596
403,0.475,-0.45,0.01399755097549773
404,0.48750000000000004,-0.45,0.013998033629388187
405,0.5,-0.45,0.014017257871200808
406,-0.5,-0.4375,0.0003325550051769251
407,-0.4875,-0.4375,0.0003325909629774477
408,-0.475,-0.4375,0.00033260538951191494
409,-0.4625,-0.4375,0.0003058695850761931
410,-0.45,-0.4375,0.0002533844594196548
411,-0.4375,-0.4375,0.000126595635548008
412,-0.425,-0.4375,0.00010643787573119023
413,-0.4125,-0.4375,9.658074496887982e-05
414,-0.4,-0.4375,7.155327418690155e-05
415,-0.3875,-0.4375,3.498232172584765e-05
416,-0.375,-0.4375,2.970912355807285e-05
417,-0.3625,-0.4375,2.6508922772281178e-05
418,-0.35,-0.4375,2.367370078538527e-05
419,-0.3375,-0.4375,3.235354731530122e-05
420,-0.325,-0.4375,6.583535628400144e-05
421,-0.3125,-0.4375,8.784270965967558e-05
422,-0.3,-0.4375,0.0001085341341998447
423,-0.2875,-0.4375,0.0001908170397884266
424,-0.275,-0.4375,0.00024116194802120374
425,-0.2625,-0.4375,0.0002671834201200037
426,-0.25,-0.4375,0.0004063822339649547
427,-0.2375,-0.4375,0.0005269130088566147
428,-0.22499999999999998,-0.4375,0.0005513528693961379
429,-0.21250000000000002,-0.4375,0.0007189400574166998
430,-0.2,-0.4375,0.0009582701455490567
431,-0.1875,-0.4375,0.0010117602000885304
432,-0.175,-0.4375,0.0011672330318430965
433,-0.16249999999999998,-0.4375,0.0015342815126963233
434,-0.15000000000000002,-0.4375,0.001659806718024895
435,-0.1375,-0.4375,0.001780601335559376
436,-0.125,-0.4375,0.0022470157759255415
437,-0.11249999999999999,-0.4375,0.0025391228061344743
438,-0.09999999999999998,-0.4375,0.0026632469751194333
439,-0.08750000000000002,-0.4375,0.0031368622505599667
440,-0.07500000000000001,-0.4375,0.0036271497584828257
441,-0.0625,-0.4375,0.003760374812057933
442,-0.04999999999999999,-0.4375,0.004180602282201585
443,-0.03749999999999998,-0.4375,0.004810501943281911
444,-0.025000000000000022,-0.4375,0.00494855371585869
445,-0.012500000000000011,-0.4375,0.005311610880955461
446,0.0,-0.4375,0.005959429149199983
447,0.012499999999999956,-0.4375,0.006202904226640682
448,0.025000000000000022,-0.4375,0.006569427401619072
449,0.03749999999999998,-0.4375,0.00744517219576166
450,0.050000000000000044,-0.4375,0.007441510462515859
451,0.0625,-0.4375,0.007491778515046819
452,0.07499999999999996,-0.4375,0.00857321338501739
453,0.08750000000000002,-0.4375,0.00856760404058194
454,0.09999999999999998,-0.4375,0.008588932761884317
455,0.11250000000000004,-0.4375,0.00958456900471985
456,0.125,-0.4375,0.009578152266435342
457,0.13749999999999996,-0.4375,0.00983789433013599
458,0.15000000000000002,-0.4375,0.010267446009026336
459,0.16249999999999998,-0.4375,0.010479871283892416
460,0.17500000000000004,-0.4375,0.010518191290553664
461,0.1875,-0.4375,0.010912917481351623
462,0.19999999999999996,-0.4375,0.01113868241336632
463,0.21250000000000002,-0.4375,0.011154260922128695
464,0.22499999999999998,-0.4375,0.011430293741330293
465,0.23750000000000004,-0.4375,0.011601477049189082
466,0.25,-0.4375,0.011606580562127114
467,0.26249999999999996,-0.4375,0.0118226146009672
468,0.275,-0.4375,0.011942862159680382
469,0.2875,-0.4375,0.011943788094200904
470,0.30000000000000004,-0.4375,0.012117367237980245
471,0.3125,-0.4375,0.012228931041440204
472,0.32499999999999996,-0.4375,0.012229283260440154
473,0.3375,-0.4375,0.012347789131653282
474,0.35,-0.4375,0.012490266088463741
475,0.36250000000000004,-0.4375,0.012526113224940485
476,0.375,-0.4375,0.012597154385693208
477,0.38749999999999996,-0.4375,0.012790047730009961
478,0.4,-0.4375,0.012889528513935
479,0.4125,-0.4375,0.012949567076500905
480,0.42500000000000004,-0.4375,0.013201260719208538
481,0.4375,-0.4375,0.013398877085718127
482,0.44999999999999996,-0.4375,0.013455522656212457
483,0.4625,-0.4375,0.013719824259334022
484,0.475,-0.4375,0.013954908384922415
485,0.48750000000000004,-0.4375,0.013971666490730143
486,0.5,-0.4375,0.013931236407208386
487,-0.5,-0.425,0.00033188687765811826
488,-0.4875,-0.425,0.0003323285727309809
489,-0.475,-0.425,0.00033251877720704977
490,-0.4625,-0.425,0.0002935191167666284
491,-0.45,-0.425,0.00021829611527056548
492,-0.4375,-0.425,0.00014747899845679526
493,-0.425,-0.425,0.00012079955545190488
494,-0.4125,-0.425,0.00010371806746911298
495,-0.4,-0.425,7.981826946960903e-05
